Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11 ↑,"Aish, James",1,,2,3,,,,1.0,1.0,,,,2.0,,,2.0,1.0,,,1.0,,,20.0
24,"Amiss, Jye",7,6,3,10,4,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,9.0,,6.0,,,,91.0
41,"Banfield, Bailey",9,2,9,18,,,,2.0,,3.0,2.0,2.0,1.0,,,10.0,9.0,,,4.0,,2.0,78.0
15,"Bolton, Shai",7,3,14,21,,2.0,,2.0,,5.0,2.0,8.0,2.0,2.0,,12.0,11.0,,1.0,2.0,5.0,1.0,79.0
8,"Brayshaw, Andrew",17,1,12,29,,2.0,,7.0,4.0,9.0,6.0,4.0,2.0,,3.0,9.0,20.0,,,,,2.0,78.0
5,"Chapman, Heath",10,5,2,12,,,,1.0,3.0,4.0,,2.0,,2.0,,3.0,9.0,1.0,,2.0,,1.0,87.0
6,"Clark, Jordan",15,6,3,18,1,,,4.0,3.0,4.0,,2.0,,1.0,,3.0,12.0,1.0,,,,,91.0
36,"Cox, Brennan",5,3,1,6,,,,,1.0,,,,,,,2.0,4.0,1.0,,4.0,,,80.0
37,"Draper, Josh",3,2,1,4,,,,,1.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,,3.0,,,88.0
43,"Dudley, Isaiah",9,3,1,10,2,,,,,4.0,,,,,,2.0,9.0,,1.0,1.0,1.0,,69.0
28,"Erasmus, Neil",8,5,10,18,,1.0,,1.0,2.0,3.0,4.0,1.0,,1.0,,6.0,13.0,,,1.0,,1.0,65.0
32,"Frederick, Michael",10,7,4,14,1,,,,,5.0,,3.0,,1.0,,3.0,12.0,2.0,2.0,,,1.0,81.0
9,"Jackson, Luke",7,5,10,17,1,,35.0,2.0,1.0,3.0,4.0,1.0,,1.0,1.0,7.0,10.0,1.0,1.0,3.0,,,79.0
44,"Johnson, Matthew",10,5,7,17,1,1.0,,2.0,,3.0,3.0,1.0,1.0,,,4.0,12.0,,,,,,84.0
30,"ODriscoll, Nathan",15,4,7,22,1,,,6.0,,6.0,5.0,6.0,4.0,2.0,,12.0,10.0,1.0,,,,1.0,83.0
25,"Pearce, Alex",7,5,1,8,,,,,2.0,1.0,,,,,,2.0,6.0,,,4.0,,,88.0
16,"Reid, Murphy",9,2,10,19,,2.0,,5.0,,3.0,1.0,1.0,,,,6.0,11.0,,1.0,2.0,,2.0,79.0
13,"Ryan, Luke",14,6,2,16,,,,1.0,3.0,1.0,1.0,1.0,2.0,,,3.0,10.0,,,5.0,,1.0,83.0
3,"Serong, Caleb",18,2,17,35,,,,1.0,4.0,4.0,10.0,8.0,2.0,,2.0,17.0,17.0,,,1.0,,,79.0
14 ↓,"Sharp, Jeremy",5,2,4,9,,1.0,,1.0,,2.0,1.0,2.0,,1.0,,1.0,7.0,,,,,,75.0
35,"Treacy, Josh",6,5,7,13,3,,,1.0,,,,3.0,2.0,2.0,,7.0,6.0,3.0,3.0,,,1.0,83.0
20,"Voss, Patrick",9,7,3,12,1,3.0,3.0,1.0,,2.0,,6.0,2.0,3.0,,5.0,7.0,2.0,6.0,,,1.0,78.0
23,"Worner, Karl",9,3,4,13,,,,,2.0,1.0,,2.0,,,,3.0,8.0,,,3.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,89,134,344,15,16.0,38.0,39.0,27.0,65.0,40.0,55.0,21.0,16.0,6.0,122.0,215.0,13.0,21.0,36.0,6.0,14.0,
Opposition,Opposition,186,79,105,291,10,8.0,29.0,46.0,48.0,37.0,25.0,58.0,16.0,21.0,,108.0,172.0,11.0,10.0,37.0,11.0,9.0,
