Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",10,5,4,14,3,1.0,,4.0,,2.0,1.0,3.0,1.0,2.0,,8.0,6.0,1.0,3.0,1.0,1.0,,80.0
21,"Barlow, Michael",12,6,15,27,,1.0,,11.0,2.0,2.0,2.0,4.0,1.0,1.0,,11.0,16.0,,1.0,3.0,,,79.0
26,"Bradley, Kepler",9,5,2,11,,,8.0,1.0,,4.0,,4.0,1.0,1.0,,5.0,6.0,1.0,,1.0,,,83.0
15,"Crowley, Ryan",8,3,10,18,1,,,6.0,1.0,2.0,2.0,4.0,1.0,2.0,,7.0,8.0,,1.0,,,,83.0
3,"Dawson, Zac",5,2,3,8,,,,1.0,2.0,2.0,1.0,1.0,,,,5.0,3.0,1.0,,5.0,,,93.0
40,"de Boer, Matt",7,6,11,18,1,1.0,,5.0,,1.0,,2.0,1.0,,,8.0,9.0,,2.0,1.0,,1.0,88.0
41,"Duffield, Paul",16,4,4,20,,,,5.0,6.0,2.0,2.0,6.0,,4.0,,8.0,11.0,,,2.0,1.0,,100.0
7,"Fyfe, Nat",12,4,8,20,,,,,4.0,4.0,4.0,5.0,1.0,2.0,,13.0,7.0,2.0,,2.0,,1.0,83.0
32,"Hill, Stephen",16,5,5,21,,1.0,,4.0,1.0,6.0,7.0,3.0,,,,10.0,11.0,,,1.0,,,81.0
5,"Ibbotson, Garrick",9,1,6,15,,,,3.0,3.0,3.0,1.0,,,,,7.0,7.0,,,4.0,,,82.0
37,"Johnson, Michael",7,3,2,9,,1.0,1.0,4.0,3.0,,1.0,1.0,,,,4.0,4.0,1.0,1.0,10.0,,,87.0
23,"Mayne, Chris",10,5,5,15,,,,8.0,,1.0,,2.0,,,,7.0,8.0,1.0,2.0,2.0,,,88.0
9,"McPhee, Adam",14,11,4,18,,,,,3.0,1.0,,2.0,,1.0,,4.0,14.0,2.0,,3.0,,,100.0
16,"Mundy, David",16,3,5,21,,,,6.0,1.0,7.0,4.0,2.0,,1.0,,10.0,12.0,1.0,,1.0,,2.0,76.0
13,"Mzungu, Tendai",5,3,5,10,,1.0,,2.0,,,1.0,1.0,1.0,1.0,,4.0,6.0,,2.0,3.0,,1.0,75.0
29,"Pavlich, Matthew",12,9,2,14,6,,,2.0,,2.0,,1.0,1.0,,,6.0,8.0,3.0,6.0,2.0,1.0,,93.0
46,"Pearce, Clancee",11,5,6,17,1,,,5.0,2.0,5.0,2.0,2.0,1.0,2.0,,6.0,13.0,,1.0,,,1.0,84.0
31,"Sandilands, Aaron",3,2,8,11,,,35.0,,3.0,,4.0,,,,,9.0,2.0,1.0,,2.0,,,78.0
36,"Silvagni, Alex",4,3,1,5,,,,4.0,,,,4.0,,4.0,,1.0,3.0,,,10.0,,,91.0
34 ↑,"Spurr, Lee",10,3,4,14,,,,2.0,2.0,1.0,,3.0,1.0,2.0,,7.0,7.0,,1.0,5.0,,,81.0
8 ↓,"Suban, Nick",4,1,,4,,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,1.0,,,17.0
38,"Walters, Michael",11,5,4,15,2,2.0,,4.0,1.0,1.0,1.0,2.0,2.0,,,6.0,10.0,,2.0,5.0,,2.0,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,94,114,325,14,12.0,44.0,77.0,35.0,47.0,34.0,53.0,13.0,23.0,,148.0,173.0,14.0,22.0,64.0,3.0,8.0,
Opposition,Opposition,182,52,139,321,11,14.0,31.0,86.0,25.0,54.0,38.0,39.0,23.0,13.0,,158.0,164.0,6.0,10.0,60.0,2.0,5.0,
