Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",10,3,7,17,,,1.0,1.0,,,,,,2.0,,,,,,,,,
32,"Baldwin, Jason",5,2,7,12,,,,3.0,,,,,2.0,3.0,,,,,,,,,
22,"Bamford, Scott",17,2,5,22,,1.0,,,,,,,,1.0,1.0,,,,,,,,
5,"Barker, John",11,5,2,13,,,3.0,1.0,,,,,2.0,3.0,,,,,,,,,
1,"Boyd, Brad",19,4,10,29,,,,,,,,,,,,,,,,,,,
30,"Carter, Nick",8,2,10,18,,,,,,,,,1.0,,,,,,,,,,
27,"Chandler, Brett",13,2,14,27,,1.0,,7.0,,,,,,,,,,,,,,,
31,"Dent, Matthew",10,2,8,18,,,,3.0,,,,,,,,,,,,,,,
28,"Doyle, Peter",9,1,11,20,,,,1.0,,,,,,1.0,,,,,,,,,
20,"Dwyer, Mick",2,1,7,9,,,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Hogg, Jeff",1,1,1,2,,,,,,,,,,,,,,,,,,,
2,"Johnson, Chris",4,1,11,15,1,1.0,,8.0,,,,,,2.0,,,,,,,,,
25,"McCarthy, John",4,3,4,8,1,,,,,,,,,2.0,,,,,,,,,
15,"McMahon, Robert",,,,,,,,,,,,,,,,,,,,,,,
3,"Mellington, Anthony",5,2,1,6,1,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
34,"Morton, Danny",10,3,12,22,1,,,1.0,,,,,,2.0,,,,,,,,,
8,"Pike, Martin",15,7,8,23,,,,4.0,,,,,,1.0,,,,,,,,,
12,"Primus, Matthew",5,2,6,11,,1.0,14.0,3.0,,,,,3.0,6.0,,,,,,,,,
37,"Rombotis, John",9,1,4,13,1,2.0,,3.0,,,,,2.0,1.0,,,,,,,,,
33,"Warfe, Rowan",13,2,6,19,,,,3.0,,,,,3.0,,,,,,,,,,
39,"Warry, Marty",3,3,,3,1,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,49,134,307,6,9.0,18.0,40.0,,,,,15.0,26.0,1.0,,,,,,,,
Opposition,Opposition,198,64,104,302,8,12.0,24.0,32.0,,,,,26.0,15.0,5.0,,,,,,,,
