Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
33,"Allison, Brett",31y 95d,216 (121-1-94 56.25%),275 (1.27),←,
11,"Archer, Glenn",26y 158d,159 (105-0-54 66.04%),101 (0.64),←,
26,"Bell, Peter",23y 181d,97 (66-0-31 68.04%),92 (0.95),95 (66-0-29 69.47%),90 (0.95)
12,"Blakey, John",33y 36d,296 (158-0-138 53.38%),96 (0.32),161 (106-0-55 65.84%),58 (0.36)
16,"Capuano, Mathew",23y 361d,65 (50-0-15 76.92%),19 (0.29),←,
18,"Carey, Wayne",28y 94d,204 (127-0-77 62.25%),556 (2.73),←,
23,"Clayton, Shane",20y 309d,40 (19-0-21 47.50%),10 (0.25),22 (17-0-5 77.27%),9 (0.41)
6,"Grant, Shannon",22y 132d,104 (66-1-37 63.94%),112 (1.08),46 (34-0-12 73.91%),74 (1.61)
29,"Harvey, Brent",21y 107d,61 (43-0-18 70.49%),60 (0.98),←,
34,"King, David",27y 175d,129 (87-0-42 67.44%),41 (0.32),←,
4,"Martyn, Mick",30y 363d,239 (142-1-96 59.62%),14 (0.06),←,
5,"McCartney, Jason",25y 168d,119 (66-0-53 55.46%),51 (0.43),44 (32-0-12 72.73%),3 (0.07)
31,"McKernan, Corey",25y 253d,135 (94-0-41 69.63%),149 (1.10),←,
19,"Mooney, Cameron",19y 337d,9 (8-0-1 88.89%),2 (0.22),←,
44,"Motlop, Shannon",21y 11d,4 (4-0-0 100.00%),3 (0.75),←,
28,"Pickett, Byron",22y 18d,48 (35-0-13 72.92%),,←,
13,"Pike, Martin",26y 288d,118 (54-0-64 45.76%),53 (0.45),58 (42-0-16 72.41%),13 (0.22)
24,"Sholl, Craig",31y 242d,219 (132-0-87 60.27%),148 (0.68),←,
7,"Simpson, Adam",23y 194d,87 (64-0-23 73.56%),35 (0.40),←,
10,"Stevens, Anthony",28y 58d,203 (127-0-76 62.56%),96 (0.47),←,
38,"Stevens, Danny",22y 292d,15 (10-0-5 66.67%),7 (0.47),←,
30,"Welsh, Scott",20y 265d,33 (23-0-10 69.70%),28 (0.85),←,
Totals,Totals,25y 122d,2600 (1601-3-996 61.58%),1948 (0.75),,
C,"Pagan, Denis",51y 339d,167 (111-0-56 66.47%),,←,
