Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
9,"AhMat, Robert",22y 313d,53 (27-0-26 50.94%),46 (0.87),28 (15-0-13 53.57%),24 (0.86)
27,"Ball, Jason",27y 188d,111 (66-0-45 59.46%),122 (1.10),8 (3-0-5 37.50%),8 (1.00)
21,"Barry, Leo",23y 8d,61 (33-0-28 54.10%),47 (0.77),←,
42,"Bennett, Gerrard",21y 48d,8 (3-0-5 37.50%),3 (0.38),←,
24,"Bolton, Jude",20y 73d,17 (5-0-12 29.41%),10 (0.59),←,
17,"Bomford, Andrew",25y 313d,25 (8-0-17 32.00%),8 (0.32),12 (3-0-9 25.00%),3 (0.25)
8,"Cresswell, Daryn",29y 5d,175 (71-1-103 40.86%),144 (0.82),←,
28,"Crouch, Jared",22y 83d,53 (25-0-28 47.17%),7 (0.13),←,
18,"Fitzgerald, Ryan",23y 224d,10 (3-0-7 30.00%),15 (1.50),←,
12,"Fosdike, Nic",20y 91d,20 (8-0-12 40.00%),10 (0.50),←,
37,"Goodes, Adam",20y 140d,32 (13-0-19 40.63%),40 (1.25),←,
34,"Luff, Troy",30y 187d,132 (59-2-71 45.45%),79 (0.60),←,
36,"Mathews, Ben",21y 180d,33 (15-0-18 45.45%),6 (0.18),←,
11,"Maxfield, Stuart",28y 48d,193 (95-2-96 49.74%),115 (0.60),104 (60-1-43 58.17%),50 (0.48)
23,"Nicks, Matthew",25y 14d,83 (46-0-37 55.42%),32 (0.39),←,
19,"OLoughlin, Michael",23y 97d,113 (62-1-50 55.31%),142 (1.26),←,
22,"Saddington, Jason",20y 217d,56 (28-0-28 50.00%),23 (0.41),←,
25,"Schauble, Andrew",23y 192d,91 (31-0-60 34.07%),14 (0.15),12 (4-0-8 33.33%),3 (0.25)
2,"Schwass, Wayne",31y 182d,241 (130-0-111 53.94%),136 (0.56),57 (29-0-28 50.88%),39 (0.68)
1,"Stafford, Greg",25y 274d,102 (45-1-56 44.61%),32 (0.31),←,
20,"Stevens, John",28y 347d,67 (35-0-32 52.24%),38 (0.57),←,
33,"Warfe, Rowan",23y 339d,82 (31-0-51 37.80%),5 (0.06),56 (30-0-26 53.57%),4 (0.07)
Totals,Totals,24y 179d,1758 (839-7-912 47.72%),1074 (0.61),,
C,"Eade, Rodney",42y 53d,107 (60-1-46 56.54%),,←,
