Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Anthony, John",5,4,5,10,2,1.0,,,,,,1.0,,,,6.0,4.0,1.0,3.0,,,1.0,83.0
1,"Ballantyne, Hayden",14,3,2,16,,,,6.0,1.0,4.0,2.0,3.0,3.0,,,6.0,9.0,,,,,,85.0
21,"Barlow, Michael",17,5,13,30,,1.0,,4.0,3.0,3.0,7.0,3.0,,,,11.0,19.0,,,1.0,,2.0,80.0
6,"Broughton, Greg",8,4,17,25,1,,,6.0,1.0,2.0,1.0,5.0,1.0,3.0,,11.0,13.0,1.0,,,,,67.0
30,"Clarke, Zac",10,6,8,18,2,,10.0,,,2.0,1.0,2.0,,,,6.0,12.0,,,1.0,,,78.0
15,"Crowley, Ryan",9,3,6,15,1,,,3.0,2.0,1.0,4.0,,1.0,,,9.0,5.0,,,,,1.0,83.0
3,"Dawson, Zac",4,1,5,9,,,,1.0,3.0,1.0,,2.0,2.0,1.0,,3.0,4.0,,,8.0,,,98.0
40,"de Boer, Matt",9,8,12,21,1,1.0,,3.0,2.0,3.0,1.0,,1.0,,,7.0,14.0,,2.0,1.0,,,81.0
41,"Duffield, Paul",18,4,4,22,,,,2.0,6.0,1.0,,,,,,3.0,13.0,,,1.0,,1.0,94.0
32,"Hill, Stephen",14,3,14,28,,,,2.0,1.0,5.0,2.0,5.0,1.0,1.0,2.0,12.0,17.0,,,1.0,1.0,3.0,79.0
5,"Ibbotson, Garrick",6,4,4,10,,,,3.0,1.0,2.0,1.0,,,,,2.0,8.0,,,2.0,,,82.0
37,"Johnson, Michael",9,6,13,22,,,,1.0,5.0,1.0,,1.0,,1.0,,10.0,12.0,1.0,,6.0,,,100.0
23,"Mayne, Chris",7,5,6,13,2,,,2.0,1.0,1.0,,,,,,3.0,10.0,,2.0,2.0,,1.0,90.0
18,"McPharlin, Luke",6,2,6,12,,,,1.0,1.0,,,2.0,,2.0,,4.0,8.0,,,3.0,1.0,,100.0
9,"McPhee, Adam",14,4,6,20,,,,1.0,4.0,2.0,1.0,5.0,,1.0,,6.0,14.0,,,3.0,,1.0,100.0
16,"Mundy, David",13,5,11,24,,,,4.0,1.0,5.0,2.0,2.0,,1.0,,8.0,18.0,,,2.0,,,74.0
13,"Mzungu, Tendai",17,4,4,21,2,1.0,,6.0,3.0,6.0,1.0,2.0,2.0,,,4.0,16.0,,1.0,4.0,,1.0,86.0
27 ↑,"Neale, Lachie",,1,7,7,,,,,,,,,,,,4.0,3.0,,,,,,29.0
29,"Pavlich, Matthew",10,3,6,16,1,2.0,,4.0,1.0,3.0,2.0,1.0,,1.0,,6.0,9.0,,1.0,1.0,,2.0,94.0
46,"Pearce, Clancee",16,8,9,25,1,,,4.0,3.0,2.0,1.0,2.0,,1.0,,7.0,17.0,1.0,1.0,2.0,,,87.0
31,"Sandilands, Aaron",6,6,14,20,1,,44.0,2.0,2.0,,4.0,1.0,,,3.0,12.0,9.0,4.0,2.0,3.0,,,84.0
8 ↓,"Suban, Nick",3,2,,3,,,,2.0,,,,,1.0,,,1.0,2.0,,,,,,46.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,91,172,387,14,8.0,54.0,57.0,41.0,44.0,30.0,37.0,12.0,12.0,5.0,141.0,236.0,8.0,12.0,41.0,2.0,13.0,
Opposition,Opposition,209,86,156,365,11,13.0,28.0,64.0,25.0,56.0,43.0,46.0,12.0,12.0,1.0,156.0,210.0,15.0,16.0,49.0,15.0,6.0,
