Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",22y 236d,44 (25-0-19 56.82%),9 (0.20),←,
27,"Ball, Jason",32y 237d,183 (110-0-73 60.11%),157 (0.86),80 (47-0-33 58.75%),43 (0.54)
21,"Barry, Leo",28y 58d,161 (91-0-70 56.52%),50 (0.31),←,
6,"Bolton, Craig",25y 46d,93 (56-0-37 60.22%),17 (0.18),64 (39-0-25 60.94%),7 (0.11)
24,"Bolton, Jude",25y 123d,129 (67-1-61 52.33%),68 (0.53),←,
32,"Buchanan, Amon",22y 279d,38 (21-0-17 55.26%),14 (0.37),←,
28,"Crouch, Jared",27y 133d,172 (91-1-80 53.20%),40 (0.23),←,
2,"Davis, Nick",25y 108d,120 (58-0-62 48.33%),156 (1.30),49 (28-0-21 57.14%),71 (1.45)
26,"Dempster, Sean",21y 177d,12 (8-0-4 66.67%),,←,
12,"Fosdike, Nic",25y 140d,108 (54-1-53 50.46%),50 (0.46),←,
37,"Goodes, Adam",25y 189d,151 (79-1-71 52.65%),159 (1.05),←,
1,"Hall, Barry",28y 158d,169 (79-2-88 47.34%),388 (2.30),81 (45-1-35 56.17%),244 (3.01)
16,"Jolly, Darren",23y 252d,62 (29-0-33 46.77%),17 (0.27),14 (9-0-5 64.29%),6 (0.43)
17,"Kennelly, Tadhg",24y 15d,91 (53-0-38 58.24%),25 (0.27),←,
31,"Kirk, Brett",28y 264d,113 (61-1-51 54.42%),50 (0.44),←,
40,"Malceski, Nick",20y 335d,4 (4-0-0 100.00%),1 (0.25),←,
4,"Mathews, Ben",26y 229d,149 (80-1-68 54.03%),29 (0.19),←,
5,"OKeefe, Ryan",24y 173d,83 (47-0-36 56.63%),86 (1.04),←,
19,"OLoughlin, Michael",28y 146d,212 (119-2-91 56.60%),353 (1.67),←,
30,"Roberts-Thomson, Lewis",21y 311d,38 (24-0-14 63.16%),5 (0.13),←,
13,"Schneider, Adam",21y 65d,42 (24-0-18 57.14%),41 (0.98),←,
10,"Williams, Paul",32y 104d,284 (133-3-148 47.36%),301 (1.06),95 (52-1-42 55.26%),78 (0.82)
Totals,Totals,25y 205d,2458 (1313-13-1132 53.42%),2016 (0.82),,
C,"Roos, Paul",42y 19d,74 (45-0-29 60.81%),,←,
