Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",13,3,6,19,3,2.0,,4.0,,,,,2.0,,,,,,,,,,
22,"Bain, David",6,3,1,7,,,,,,,,,2.0,,,,,,,,,,
25,"Campbell, Matthew",24,9,8,32,1,1.0,,1.0,,,,,1.0,2.0,3.0,,,,,,,,
1,"Champion, Richard",15,4,5,20,,2.0,,1.0,,,,,3.0,1.0,,,,,,,,,
4,"Gastev, John",9,3,7,16,,,,4.0,,,,,,,,,,,,,,,
34,"Green, Ashley",7,3,3,10,,,,1.0,,,,,2.0,,,,,,,,,,
14,"Hamilton, Shane",10,1,5,15,,1.0,,1.0,,,,,,,,,,,,,,,
11,"Hutton, John",11,5,1,12,8,,,1.0,,,,,1.0,1.0,2.0,,,,,,,,
41,"Kennedy, Matthew",10,7,7,17,,,5.0,1.0,,,,,,1.0,,,,,,,,,
42,"Kerinaiua, Adam",,,3,3,,,,,,,,,1.0,2.0,,,,,,,,,
17,"Leslie, Martin",11,7,10,21,,,,,,,,,1.0,1.0,,,,,,,,,
7,"McIvor, Scott",8,3,3,11,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,
24,"Merrett, Roger",11,4,4,15,2,1.0,5.0,,,,,,3.0,5.0,,,,,,,,,
26,"Noonan, Danny",21,6,13,34,,2.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,,
44,"Palfreyman, Nigel",5,1,4,9,,,,1.0,,,,,3.0,4.0,,,,,,,,,
13,"Potter, Craig",14,1,5,19,,,,5.0,,,,,,2.0,,,,,,,,,
27,"Rendell, Matthew",9,3,4,13,1,1.0,9.0,,,,,,2.0,2.0,,,,,,,,,
6,"Retzlaff, Brendon",10,3,4,14,,,,2.0,,,,,1.0,1.0,,,,,,,,,
56,"Voss, Michael",12,5,8,20,2,1.0,,1.0,,,,,1.0,4.0,,,,,,,,,
29,"White, Darryl",10,4,9,19,2,1.0,1.0,4.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,75,110,326,19,15.0,21.0,28.0,,,,,27.0,30.0,6.0,,,,,,,,
Opposition,Opposition,190,74,109,299,9,16.0,10.0,19.0,,,,,30.0,27.0,,,,,,,,,
