St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Acres, Blake",8,3,9,17,,,,3.0,4.0,2.0,3.0,2.0,2.0,1.0,,8.0,9.0,,,1.0,,1.0,72.0
20,"Armitage, David",8,1,9,17,,,,5.0,,7.0,4.0,8.0,3.0,4.0,,10.0,12.0,,,1.0,,,89.0
27,"Bruce, Josh",4,1,8,12,1,,2.0,1.0,,3.0,,1.0,,,,3.0,9.0,1.0,,2.0,,,93.0
21,"Delaney, Luke",,4,9,9,,,,1.0,1.0,,,,,,,6.0,3.0,1.0,,4.0,,,96.0
7,"Dunstan, Luke",7,,8,15,,,,5.0,1.0,3.0,2.0,2.0,,,,7.0,10.0,,,2.0,,1.0,72.0
14,"Geary, Jarryn",6,1,11,17,,,,1.0,5.0,,,,1.0,,,5.0,12.0,,,5.0,,,87.0
19,"Gilbert, Sam",8,5,9,17,,1.0,2.0,2.0,4.0,3.0,,3.0,,2.0,,6.0,12.0,,,3.0,,,91.0
22,"Gresham, Jade",5,,11,16,1,2.0,,3.0,,2.0,,2.0,1.0,,,8.0,8.0,,,,3.0,1.0,81.0
1,"Hickey, Tom",6,5,7,13,,2.0,18.0,1.0,,1.0,3.0,5.0,2.0,4.0,,7.0,4.0,4.0,2.0,2.0,,,90.0
9,"Lee, Tom",7,4,1,8,,,1.0,,3.0,1.0,,,2.0,,,3.0,5.0,1.0,,3.0,,,78.0
13,"Lonie, Jack",7,1,7,14,1,1.0,,1.0,1.0,1.0,,1.0,1.0,,,7.0,7.0,,1.0,1.0,,1.0,84.0
32,"McCartin, Paddy",2,1,,2,,,,,,2.0,,,1.0,,,2.0,,1.0,,1.0,,,13.0
28,"Membrey, Tim",9,4,9,18,2,1.0,,2.0,2.0,1.0,,7.0,,1.0,,7.0,10.0,1.0,3.0,3.0,,,92.0
41,"Minchington, Darren",5,1,8,13,,,,3.0,,2.0,2.0,3.0,1.0,,,8.0,5.0,,,,,,81.0
11,"Montagna, Leigh",12,5,13,25,,1.0,,1.0,5.0,3.0,,2.0,,1.0,,1.0,21.0,,,1.0,,,90.0
16,"Newnes, Jack",16,3,4,20,2,,,3.0,1.0,5.0,3.0,3.0,1.0,1.0,,8.0,12.0,,,2.0,,1.0,90.0
12,"Riewoldt, Nick",14,10,7,21,,5.0,6.0,,1.0,6.0,,3.0,,,,7.0,15.0,2.0,3.0,,,,77.0
17,"Roberton, Dylan",9,4,6,15,,,,1.0,4.0,1.0,,,,,,4.0,9.0,1.0,,4.0,1.0,,88.0
6,"Ross, Sebastian",11,1,8,19,,,3.0,3.0,3.0,3.0,5.0,4.0,,,,6.0,14.0,,,1.0,,,79.0
5,"Savage, Shane",12,4,7,19,,,,1.0,5.0,5.0,,2.0,,,,4.0,13.0,2.0,,3.0,,,81.0
3,"Steven, Jack",10,,11,21,,,,4.0,,9.0,4.0,4.0,,1.0,,7.0,11.0,,,,1.0,,84.0
44,"Weller, Maverick",9,3,6,15,1,4.0,,4.0,1.0,2.0,,2.0,2.0,,,7.0,8.0,1.0,3.0,,,1.0,93.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,175,61,168,343,8,20.0,32.0,45.0,41.0,62.0,26.0,54.0,17.0,15.0,,131.0,209.0,15.0,12.0,39.0,5.0,6.0,
Opposition,Opposition,251,149,162,413,15,18.0,19.0,39.0,52.0,61.0,23.0,47.0,15.0,17.0,6.0,110.0,298.0,14.0,21.0,50.0,19.0,14.0,
