Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Breust, Luke",10,5,8,18,,,,5.0,1.0,5.0,2.0,4.0,1.0,,,5.0,14.0,,,2.0,,1.0,76.0
24,"Cousins, James",9,6,7,16,,1.0,,4.0,1.0,4.0,1.0,2.0,1.0,1.0,,4.0,13.0,1.0,1.0,1.0,,3.0,74.0
8,"Frost, Sam",5,2,6,11,,,,4.0,5.0,,,2.0,2.0,1.0,,9.0,5.0,1.0,,7.0,,,88.0
13,"Hanrahan, Oliver",4,,3,7,2,1.0,,2.0,,,,,,,,4.0,3.0,,,,,,82.0
15,"Hardwick, Blake",18,3,5,23,,,,2.0,10.0,3.0,2.0,4.0,1.0,1.0,,3.0,18.0,,,2.0,,,78.0
28,"Hartigan, Kyle",4,5,5,9,,,,,1.0,,,2.0,,1.0,,,8.0,,,7.0,,,96.0
27,"Hartley, Michael",12,5,5,17,,,,3.0,4.0,,1.0,1.0,1.0,1.0,,6.0,7.0,1.0,,8.0,,,97.0
17,"Howe, Daniel",12,5,6,18,1,,,5.0,1.0,1.0,,2.0,1.0,,,8.0,10.0,,1.0,1.0,,,78.0
4,"Impey, Jarman",14,4,18,32,1,,,2.0,2.0,2.0,1.0,4.0,2.0,1.0,,9.0,22.0,,,3.0,,,81.0
39,"Jeka, Emerson",4,2,4,8,,1.0,,1.0,,3.0,,1.0,,,,3.0,7.0,,1.0,2.0,,,81.0
29,"Jiath, Changkuoth",12,7,13,25,,,,2.0,4.0,,2.0,4.0,1.0,,,7.0,21.0,,,5.0,2.0,,80.0
34,"Koschitzke, Jacob",3,5,5,8,,1.0,,1.0,,,,2.0,,,,3.0,6.0,,1.0,4.0,,,88.0
2,"Lewis, Mitch",7,4,3,10,2,2.0,6.0,1.0,1.0,,1.0,,1.0,,,4.0,6.0,2.0,3.0,2.0,,,82.0
7,"McEvoy, Ben",5,5,6,11,,,19.0,6.0,1.0,,1.0,2.0,,,,7.0,6.0,2.0,,3.0,,,81.0
3,"Mitchell, Tom",10,5,31,41,,,,4.0,2.0,4.0,6.0,2.0,1.0,,,17.0,24.0,,,2.0,,1.0,82.0
36,"Moore, Dylan",5,3,4,9,,,,4.0,,,,1.0,1.0,,,4.0,5.0,,2.0,1.0,,1.0,75.0
35,"Morris, Josh",,,,,,,,,,,,,,,,,,,,,,,
1,"Morrison, Harry",9,6,11,20,,,,3.0,3.0,,1.0,3.0,,1.0,,5.0,14.0,,,,,,84.0
21,"Phillips, Tom",15,6,7,22,,,,1.0,3.0,1.0,,5.0,,,,2.0,20.0,,,1.0,1.0,,78.0
14,"Scrimshaw, Jack",15,6,12,27,,1.0,,4.0,5.0,2.0,,3.0,,,,4.0,22.0,,,1.0,1.0,,80.0
26,"Shiels, Liam",14,5,9,23,,,,2.0,1.0,2.0,1.0,6.0,1.0,1.0,,3.0,21.0,,,1.0,,,78.0
20,"Wingard, Chad",7,5,12,19,,,,3.0,3.0,4.0,2.0,,1.0,,,5.0,15.0,,,2.0,,,76.0
5,"Worpel, James",13,5,14,27,2,,,4.0,1.0,4.0,6.0,5.0,1.0,2.0,,10.0,16.0,,1.0,2.0,,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,207,99,194,401,8,12.0,25.0,63.0,49.0,35.0,27.0,55.0,16.0,10.0,,122.0,283.0,7.0,10.0,57.0,4.0,6.0,
Opposition,Opposition,246,126,136,382,14,14.0,39.0,49.0,26.0,63.0,35.0,49.0,10.0,16.0,6.0,139.0,252.0,20.0,12.0,57.0,8.0,9.0,
