Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",27y 99d,177 (102-0-75 57.63%),155 (0.88),54 (18-0-36 33.33%),35 (0.65)
9,"Carr, Matthew",24y 161d,82 (25-1-56 31.10%),35 (0.43),54 (18-0-36 33.33%),33 (0.61)
10,"Cook, Troy",26y 300d,120 (50-0-70 41.67%),54 (0.45),77 (26-0-51 33.77%),43 (0.56)
24,"Croad, Trent",23y 91d,114 (59-1-54 52.19%),134 (1.18),30 (15-0-15 50.00%),54 (1.80)
14,"Grover, Antoni",23y 89d,50 (18-0-32 36.00%),6 (0.12),←,
42,"Haddrill, Robert",22y 131d,19 (9-0-10 47.37%),,←,
39,"Haines, Daniel",22y 58d,16 (7-0-9 43.75%),4 (0.25),←,
4,"Hasleby, Paul",21y 361d,74 (25-0-49 33.78%),56 (0.76),←,
11,"Headland, Des",22y 138d,63 (47-0-16 74.60%),63 (1.00),11 (7-0-4 63.64%),11 (1.00)
28,"Koops, Steven",24y 319d,73 (29-0-44 39.73%),49 (0.67),←,
20,"Longmuir, Justin",22y 138d,67 (22-0-45 32.84%),93 (1.39),←,
8,"McManus, Shaun",27y 119d,134 (44-0-90 32.84%),65 (0.49),←,
34,"Medhurst, Paul",21y 179d,31 (15-0-16 48.39%),59 (1.90),←,
29,"Pavlich, Matthew",21y 159d,72 (24-0-48 33.33%),66 (0.92),←,
12,"Polak, Graham",18y 357d,16 (10-0-6 62.50%),,←,
3,"Schammer, Byron",17y 352d,7 (5-0-2 71.43%),1 (0.14),←,
35,"Siegert, Andrew",21y 141d,23 (9-0-14 39.13%),1 (0.04),←,
2,"Simmonds, Troy",24y 330d,71 (35-0-36 49.30%),23 (0.32),31 (15-0-16 48.39%),16 (0.52)
22,"Thornton, Scott",20y 270d,2 (1-0-1 50.00%),,←,
19,"Walker, James",24y 144d,86 (28-0-58 32.56%),9 (0.10),←,
26,"Waterhouse, Clive",28y 350d,99 (35-0-64 35.35%),171 (1.73),←,
6,"Woods, Dion",21y 134d,29 (12-0-17 41.38%),4 (0.14),←,
Totals,Totals,23y 68d,1425 (611-2-812 42.88%),1048 (0.74),,
C,"Connolly, Chris",40y 75d,34 (17-0-17 50.00%),,33 (16-0-17 48.48%),
