North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Campbell, Matt",3,,3,6,1,,,2.0,,,,1.0,,,,6.0,,,,2.0,2.0,,86.0
27,"Edwards, Aaron",3,3,,3,,,,1.0,,,,1.0,,,,1.0,2.0,1.0,2.0,,,,39.0
11,"Firrito, Michael",9,6,5,14,,1.0,,,2.0,7.0,1.0,1.0,,,,7.0,6.0,3.0,,4.0,,,97.0
6,"Grant, Shannon",2,2,4,6,,,,,1.0,,,1.0,,,,4.0,2.0,,,,,,96.0
31,"Hale, David",6,5,6,12,2,1.0,18.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,8.0,3.0,3.0,2.0,1.0,,,76.0
39,"Harding, Leigh",11,5,2,13,1,,,2.0,3.0,2.0,3.0,2.0,2.0,2.0,,7.0,7.0,1.0,,4.0,3.0,,90.0
4,"Harris, Daniel",8,4,8,16,,,,7.0,3.0,3.0,5.0,2.0,2.0,1.0,,9.0,7.0,,,,1.0,,70.0
29,"Harvey, Brent",13,7,9,22,,1.0,,1.0,1.0,5.0,2.0,,2.0,,1.0,8.0,15.0,,,3.0,1.0,2.0,81.0
21,"Jones, Corey",10,7,1,11,2,,,2.0,1.0,2.0,1.0,,1.0,,,3.0,7.0,2.0,2.0,1.0,,,89.0
2,"Lower, Ed",4,2,8,12,,,,3.0,4.0,2.0,2.0,7.0,,3.0,,8.0,3.0,,,3.0,3.0,,87.0
1,"McIntosh, Hamish",6,4,4,10,1,,23.0,1.0,,1.0,,,,,,4.0,6.0,1.0,,2.0,1.0,,65.0
20,"Petrie, Drew",19,12,3,22,,,,,5.0,3.0,2.0,1.0,3.0,1.0,2.0,8.0,14.0,,,2.0,2.0,,97.0
5,"Power, Sam",9,1,6,15,,1.0,,1.0,1.0,4.0,2.0,2.0,1.0,1.0,,5.0,10.0,,,1.0,,2.0,83.0
3,"Rawlings, Brady",12,5,4,16,,,,2.0,,6.0,6.0,1.0,1.0,1.0,,6.0,8.0,,,,4.0,1.0,87.0
32,"Sansbury, Eddie",1,1,3,4,,,,2.0,,,1.0,1.0,,1.0,,3.0,3.0,,1.0,1.0,,,85.0
7,"Simpson, Adam",10,1,9,19,,1.0,,5.0,,5.0,4.0,2.0,2.0,1.0,,6.0,12.0,,,3.0,,,80.0
9,"Sinclair, Jess",6,1,1,7,,,,,1.0,1.0,,3.0,1.0,1.0,,5.0,3.0,,,1.0,2.0,,68.0
12,"Thomas, Lindsay",4,2,3,7,,,,3.0,,2.0,1.0,1.0,,1.0,,1.0,7.0,,,1.0,3.0,,79.0
23,"Thompson, Nathan",10,7,2,12,2,2.0,1.0,2.0,,2.0,,,1.0,,,3.0,9.0,,5.0,2.0,,,94.0
37,"Thompson, Scott",6,5,2,8,,,,2.0,1.0,2.0,1.0,,,,,2.0,5.0,1.0,,3.0,,1.0,84.0
36,"Watt, Shannon",3,2,1,4,,,,1.0,1.0,,,,,,,,4.0,,,3.0,,,94.0
8,"Wells, Daniel",11,5,3,14,,,,4.0,3.0,2.0,,4.0,,,,4.0,11.0,1.0,,5.0,1.0,1.0,76.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,166,87,87,253,9,10.0,42.0,44.0,28.0,50.0,32.0,32.0,17.0,14.0,3.0,108.0,144.0,13.0,12.0,42.0,23.0,7.0,
Opposition,Opposition,191,99,143,334,8,16.0,42.0,62.0,37.0,43.0,32.0,48.0,14.0,17.0,3.0,113.0,225.0,8.0,16.0,37.0,20.0,7.0,
