Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
7,"Cunningham, Harry",23y 283d,81 (56-0-25 69.14%),41 (0.51),←,
23,"Franklin, Lance",30y 228d,271 (173-1-97 64.02%),860 (3.17),89 (64-0-25 71.91%),280 (3.15)
39,"Grundy, Heath",31y 105d,237 (150-2-85 63.71%),23 (0.10),←,
4,"Hannebery, Dan",26y 203d,193 (126-2-65 65.80%),94 (0.49),←,
5,"Heeney, Isaac",21y 133d,58 (42-0-16 72.41%),60 (1.03),←,
29,"Hewett, George",21y 260d,48 (34-0-14 70.83%),27 (0.56),←,
15,"Jack, Kieren",30y 79d,229 (144-3-82 63.54%),154 (0.67),←,
10,"Jones, Zak",22y 184d,54 (33-0-21 61.11%),14 (0.26),←,
12,"Kennedy, Josh",29y 87d,204 (132-2-70 65.20%),131 (0.64),191 (127-2-62 67.02%),127 (0.66)
44,"Lloyd, Jake",23y 360d,92 (66-0-26 71.74%),23 (0.25),←,
3,"McVeigh, Jarrad",32y 161d,300 (188-4-108 63.33%),199 (0.66),←,
14,"Mills, Callum",20y 166d,46 (30-0-16 65.22%),2 (0.04),←,
35,"Naismith, Sam",25y 61d,28 (19-0-9 67.86%),3 (0.11),←,
28,"Newman, Nic",24y 243d,20 (13-0-7 65.00%),7 (0.35),←,
41,"Papley, Tom",21y 64d,40 (29-0-11 72.50%),59 (1.48),←,
26,"Parker, Luke",24y 325d,151 (102-1-48 67.88%),117 (0.77),←,
24,"Rampe, Dane",27y 105d,115 (81-1-33 70.87%),6 (0.05),←,
20,"Reid, Sam",25y 262d,120 (83-2-35 70.00%),124 (1.03),←,
16,"Rohan, Gary",26y 100d,95 (63-1-31 66.84%),89 (0.94),←,
18,"Sinclair, Callum",27y 357d,64 (46-1-17 72.66%),42 (0.66),35 (24-0-11 68.57%),24 (0.69)
40,"Smith, Nick",29y 95d,191 (122-2-67 64.40%),10 (0.05),←,
22,"Towers, Dean",27y 134d,49 (36-0-13 73.47%),26 (0.53),←,
Totals,Totals,26y 32d,2686 (1768-22-896 65.82%),2111 (0.79),,
C,"Longmire, John",46y 258d,173 (117-2-54 68.21%),,←,
