Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
28,"Bell, Tom",23y 57d,26 (14-0-12 53.85%),17 (0.65),←,
44,"Carrazzo, Andrew",30y 237d,175 (71-3-101 41.43%),47 (0.27),←,
41,"Casboult, Levi",24y 147d,33 (14-0-19 42.42%),28 (0.85),←,
35,"Curnow, Ed",24y 275d,63 (35-1-27 56.35%),11 (0.17),←,
15,"Docherty, Sam",20y 296d,26 (11-0-15 42.31%),8 (0.31),13 (5-0-8 38.46%),7 (0.54)
46,"Ellard, David",25y 149d,52 (26-0-26 50.00%),33 (0.63),←,
4,"Gibbs, Bryce",25y 147d,174 (80-1-93 46.26%),95 (0.55),←,
32,"Graham, Nick",20y 58d,8 (3-0-5 37.50%),2 (0.25),←,
40,"Jamison, Michael",28y 59d,128 (59-1-68 46.48%),2 (0.02),←,
5,"Judd, Chris",30y 335d,268 (151-3-114 56.90%),223 (0.83),134 (67-1-66 50.37%),85 (0.63)
14,"McLean, Brock",28y 151d,156 (64-1-91 41.35%),75 (0.48),62 (27-0-35 43.55%),36 (0.58)
2,"Menzel, Troy",19y 321d,23 (11-0-12 47.83%),30 (1.30),←,
3,"Murphy, Marc",27y 21d,183 (83-1-99 45.63%),142 (0.78),←,
17,"Rowe, Sam",26y 263d,28 (12-0-16 42.86%),11 (0.39),←,
47,"Sheehan, Ciaran",23y 263d,1 (1-0-0 100.00%),,←,
6,"Simpson, Kade",30y 96d,219 (91-2-126 42.01%),121 (0.55),←,
39,"Thomas, Dale",27y 49d,176 (110-2-64 63.07%),133 (0.76),19 (7-0-12 36.84%),12 (0.63)
42,"Tuohy, Zach",24y 242d,73 (37-0-36 50.68%),25 (0.34),←,
30,"Waite, Jarrad",31y 186d,181 (66-3-112 37.29%),248 (1.37),←,
43,"White, Simon",26y 53d,42 (24-1-17 58.33%),7 (0.17),←,
36,"Wood, Cameron",27y 158d,67 (36-0-31 53.73%),22 (0.33),3 (2-0-1 66.67%),1 (0.33)
13,"Yarran, Chris",23y 233d,102 (48-1-53 47.55%),83 (0.81),←,
Totals,Totals,25y 339d,2204 (1047-20-1137 47.50%),1363 (0.62),,
C,"Malthouse, Mick",60y 357d,707 (405-6-296 57.71%),,43 (19-0-24 44.19%),
