Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
11,"Aish, James",25y 280d,119 (49-0-70 41.18%),24 (0.20),37 (16-0-21 43.24%),1 (0.03)
41,"Banfield, Bailey",23y 170d,37 (14-0-23 37.84%),12 (0.32),←,
17,"Bewley, Brett",26y 123d,24 (11-0-13 45.83%),8 (0.33),←,
19,"Blakely, Connor",25y 166d,78 (32-0-46 41.03%),3 (0.04),←,
5,"Cerra, Adam",21y 312d,76 (32-0-44 42.11%),16 (0.21),←,
33,"Colyer, Travis",29y 356d,127 (60-1-66 47.64%),77 (0.61),40 (17-0-23 42.50%),23 (0.57)
12,"Crowden, Mitch",22y 109d,39 (17-0-22 43.59%),14 (0.36),←,
4,"Darcy, Sean",23y 64d,61 (24-0-37 39.34%),24 (0.39),←,
23,"Henry, Liam",19y 352d,19 (7-0-12 36.84%),10 (0.53),←,
2,"Logue, Griffin",23y 124d,43 (16-0-27 37.21%),1 (0.02),←,
22,"Meek, Lloyd",23y 115d,8 (4-0-4 50.00%),1 (0.13),←,
16,"Mundy, David",36y 26d,353 (177-1-175 50.28%),156 (0.44),←,
25,"Pearce, Alex",26y 67d,62 (26-0-36 41.94%),3 (0.05),←,
13,"Ryan, Luke",25y 190d,84 (35-0-49 41.67%),3 (0.04),←,
28,"Schultz, Lachie",23y 258d,44 (18-0-26 40.91%),38 (0.86),←,
3,"Serong, Caleb",20y 187d,35 (17-0-18 48.57%),10 (0.29),←,
39,"Switkowski, Sam",24y 268d,31 (13-0-18 41.94%),15 (0.48),←,
20,"Taberner, Matthew",28y 59d,102 (48-0-54 47.06%),140 (1.37),←,
35,"Treacy, Josh",19y 11d,14 (9-0-5 64.29%),12 (0.86),←,
18,"Tucker, Darcy",24y 204d,93 (30-0-63 32.26%),33 (0.35),←,
31,"Walker, Brandon",18y 302d,9 (5-0-4 55.56%),,←,
38,"Watson, Tobe",23y 255d,13 (6-0-7 46.15%),1 (0.08),←,
26,"Young, Hayden",20y 126d,12 (5-0-7 41.67%),,←,
Totals,Totals,24y 68d,1483 (655-2-826 44.17%),601 (0.41),,
C,"Longmuir, Justin",40y 206d,38 (17-0-21 44.74%),,←,
