Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
24,"Amiss, Jye",21y 235d,49 (23-1-25 47.96%),82 (1.67),←,
41,"Banfield, Bailey",27y 25d,99 (46-2-51 47.47%),64 (0.65),←,
15,"Bolton, Shai",26y 105d,136 (68-4-64 51.47%),165 (1.21),1 (0-0-1 0.00%),
8,"Brayshaw, Andrew",25y 135d,148 (68-2-78 46.62%),51 (0.34),←,
5,"Chapman, Heath",23y 51d,44 (24-2-18 56.82%),2 (0.05),←,
6,"Clark, Jordan",24y 158d,104 (59-2-43 57.69%),22 (0.21),72 (38-2-32 54.17%),7 (0.10)
36,"Cox, Brennan",26y 222d,113 (50-1-62 44.69%),32 (0.28),←,
37,"Draper, Josh",21y 42d,22 (9-1-12 43.18%),,←,
28,"Erasmus, Neil",21y 111d,24 (10-0-14 41.67%),2 (0.08),←,
32,"Frederick, Michael",24y 310d,80 (45-1-34 56.88%),88 (1.10),←,
9,"Jackson, Luke",23y 175d,100 (59-2-39 60.00%),74 (0.74),48 (22-1-25 46.88%),44 (0.92)
44,"Johnson, Matthew",22y 7d,39 (16-1-22 42.31%),7 (0.18),←,
30,"ODriscoll, Nathan",22y 310d,26 (15-0-11 57.69%),12 (0.46),←,
2,"OMeara, Jaeger",31y 28d,188 (83-3-102 44.95%),85 (0.45),45 (20-1-24 45.56%),15 (0.33)
25,"Pearce, Alex",29y 287d,124 (59-2-63 48.39%),5 (0.04),←,
16,"Reid, Murphy",18y 236d,2 (0-0-2 0.00%),4 (2.00),←,
13,"Ryan, Luke",29y 45d,157 (73-2-82 47.13%),3 (0.02),←,
3,"Serong, Caleb",24y 42d,105 (53-2-50 51.43%),31 (0.30),←,
14,"Sharp, Jeremy",23y 222d,48 (20-1-27 42.71%),17 (0.35),25 (12-1-12 50.00%),10 (0.40)
35,"Treacy, Josh",22y 231d,58 (32-1-25 56.03%),79 (1.36),←,
20,"Voss, Patrick",21y 267d,8 (2-0-6 25.00%),8 (1.00),←,
34,"Wagner, Corey",28y,42 (12-1-29 29.76%),6 (0.14),23 (10-1-12 45.65%),
31,"Walker, Brandon",22y 157d,66 (35-2-29 54.55%),2 (0.03),←,
Totals,Totals,24y 148d,1782 (861-33-888 48.32%),841 (0.47),,
C,"Longmuir, Justin",44y 61d,109 (53-2-54 49.54%),,←,
