North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",24y 5d,83 (38-1-44 46.39%),81 (0.98),←,
18,"Carey, Wayne",21y 4d,49 (24-0-25 48.98%),84 (1.71),←,
23,"Clarkson, Alastair",24y 34d,58 (24-2-32 43.10%),54 (0.93),←,
27,"Crocker, Darren",25y 66d,91 (41-1-49 45.60%),51 (0.56),←,
12,"Dilena, Carl",25y 75d,32 (16-0-16 50.00%),23 (0.72),9 (6-0-3 66.67%),8 (0.89)
28,"Dwyer, Anthony",22y 151d,7 (2-0-5 28.57%),7 (1.00),←,
6,"Fairley, Ian",27y 256d,135 (64-2-69 48.15%),143 (1.06),←,
9,"Larkin, Matthew",27y 286d,157 (79-3-75 51.27%),132 (0.84),←,
35,"Longmire, John",21y 152d,78 (35-1-42 45.51%),247 (3.17),←,
20,"Mann, Peter",21y 267d,4 (1-0-3 25.00%),2 (0.50),←,
4,"Martyn, Mick",23y 274d,86 (39-1-46 45.93%),9 (0.10),←,
16,"McCarthy, John",25y 62d,82 (35-1-46 43.29%),90 (1.10),←,
37,"Page, Glenn",22y 68d,20 (5-1-14 27.50%),3 (0.15),2 (0-0-2 0.00%),
36,"Romero, Jose",20y 304d,56 (27-0-29 48.21%),76 (1.36),←,
2,"Schwass, Wayne",23y 186d,71 (32-0-39 45.07%),37 (0.52),←,
24,"Sholl, Craig",24y 153d,53 (27-0-26 50.94%),11 (0.21),←,
32,"Smith, Shaun",22y 344d,45 (27-1-17 61.11%),34 (0.76),←,
1,"Spargo, Paul",25y 235d,71 (34-2-35 49.30%),98 (1.38),←,
7,"Steele, Darren",26y 48d,108 (44-1-63 41.20%),30 (0.28),←,
13,"Tudor, Leigh",22y 249d,7 (3-0-4 42.86%),6 (0.86),←,
Totals,Totals,23y 325d,1293 (597-17-679 46.17%),1218 (0.94),,
C,"Schimmelbusch, Wayne",39y 133d,54 (27-0-27 50.00%),,←,
