Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
28,"Bell, Tom",23y 29d,23 (12-0-11 52.17%),13 (0.57),←,
41,"Casboult, Levi",24y 119d,30 (12-0-18 40.00%),27 (0.90),←,
35,"Curnow, Ed",24y 247d,60 (33-1-26 55.83%),11 (0.18),←,
15,"Docherty, Sam",20y 268d,23 (9-0-14 39.13%),8 (0.35),10 (3-0-7 30.00%),7 (0.70)
46,"Ellard, David",25y 121d,49 (24-0-25 48.98%),32 (0.65),←,
33,"Everitt, Andrejs",25y 121d,95 (56-3-36 60.53%),45 (0.47),16 (5-0-11 31.25%),13 (0.81)
4,"Gibbs, Bryce",25y 119d,171 (78-1-92 45.91%),92 (0.54),←,
32,"Graham, Nick",20y 30d,5 (1-0-4 20.00%),,←,
23,"Henderson, Lachie",24y 210d,99 (46-1-52 46.97%),82 (0.83),84 (38-1-45 45.83%),79 (0.94)
40,"Jamison, Michael",28y 31d,125 (57-1-67 46.00%),2 (0.02),←,
45,"Johnson, Blaine",18y 349d,3 (1-0-2 33.33%),1 (0.33),←,
5,"Judd, Chris",30y 307d,265 (149-3-113 56.79%),219 (0.83),131 (65-1-65 50.00%),81 (0.62)
14,"McLean, Brock",28y 123d,154 (63-1-90 41.23%),74 (0.48),60 (26-0-34 43.33%),35 (0.58)
3,"Murphy, Marc",26y 358d,180 (81-1-98 45.28%),140 (0.78),←,
17,"Rowe, Sam",26y 235d,25 (10-0-15 40.00%),10 (0.40),←,
6,"Simpson, Kade",30y 68d,216 (89-2-125 41.67%),120 (0.56),←,
39,"Thomas, Dale",27y 21d,173 (108-2-63 63.01%),132 (0.76),16 (5-0-11 31.25%),11 (0.69)
42,"Tuohy, Zach",24y 214d,70 (35-0-35 50.00%),25 (0.36),←,
1,"Walker, Andrew",28y 55d,179 (68-3-108 38.83%),118 (0.66),←,
11,"Warnock, Robert",27y 174d,86 (41-1-44 48.26%),17 (0.20),65 (31-1-33 48.46%),13 (0.20)
43,"White, Simon",26y 25d,39 (22-1-16 57.69%),7 (0.18),←,
13,"Yarran, Chris",23y 205d,99 (46-1-52 46.97%),82 (0.83),←,
Totals,Totals,25y 172d,2169 (1041-22-1106 47.99%),1257 (0.58),,
C,"Malthouse, Mick",60y 329d,704 (403-6-295 57.67%),,40 (17-0-23 42.50%),
