Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",22y 134d,56 (23-2-31 42.86%),18 (0.32),←,
46,"Begley, Colm",21y 210d,23 (8-2-13 39.13%),6 (0.26),←,
20,"Black, Simon",28y 360d,214 (130-3-81 61.45%),134 (0.63),←,
36,"Bradshaw, Daniel",29y 128d,183 (105-2-76 57.92%),369 (2.02),180 (102-2-76 57.22%),369 (2.05)
17,"Brennan, Jared",23y 244d,61 (30-2-29 50.82%),47 (0.77),←,
16,"Brown, Jonathan",26y 151d,141 (93-2-46 66.67%),276 (1.96),←,
19,"Charman, Jamie",25y 256d,107 (65-3-39 62.15%),47 (0.44),←,
18,"Corrie, Anthony",23y 280d,35 (15-0-20 42.86%),29 (0.83),←,
39,"Drummond, Josh",24y 344d,34 (15-1-18 45.59%),18 (0.53),←,
14,"Henderson, Lachie",18y 105d,1 (1-0-0 100.00%),,←,
33,"Hooper, Rhan",20y 79d,21 (9-1-11 45.24%),17 (0.81),←,
4,"Johnstone, Travis",27y 255d,162 (79-1-82 49.07%),111 (0.69),2 (1-0-1 50.00%),
44,"Lappin, Nigel",31y 281d,277 (161-6-110 59.21%),174 (0.63),216 (129-5-82 60.88%),134 (0.62)
23,"Leuenberger, Matthew",19y 295d,11 (6-1-4 59.09%),1 (0.09),←,
26,"Macdonald, Joel",23y 170d,43 (24-0-19 55.81%),6 (0.14),←,
21,"Merrett, Daniel",23y 107d,48 (19-2-27 41.67%),16 (0.33),←,
8,"Notting, Tim",29y 159d,180 (107-3-70 60.28%),127 (0.71),←,
24,"Patfull, Joel",23y 112d,38 (15-2-21 42.11%),16 (0.42),←,
6,"Power, Luke",28y 80d,197 (118-2-77 60.41%),186 (0.94),←,
2,"Proud, Albert",19y 204d,3 (1-0-2 33.33%),,←,
35,"Rischitelli, Michael",22y 80d,46 (19-2-25 43.48%),18 (0.39),←,
11,"Sherman, Justin",21y 62d,56 (21-2-33 39.29%),36 (0.64),←,
Totals,Totals,24y 120d,1937 (1064-39-834 54.93%),1652 (0.85),,
C,"Matthews, Leigh",56y 27d,441 (258-8-175 59.41%),,217 (133-3-81 61.98%),
