Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
16,"Brown, Nathan",19y 138d,7 (3-0-4 42.86%),2 (0.29),←,
17,"Burns, Scott",33y 132d,250 (112-1-137 45.00%),144 (0.58),←,
18,"Clarke, Martin",20y 172d,17 (9-0-8 52.94%),5 (0.29),←,
32,"Cloke, Travis",21y 59d,62 (32-0-30 51.61%),66 (1.06),←,
29,"Cook, Ryan",20y 77d,5 (3-0-2 60.00%),,←,
1,"Davis, Leon",26y 321d,146 (69-0-77 47.26%),182 (1.25),←,
4,"Didak, Alan",25y 78d,127 (70-0-57 55.12%),179 (1.41),←,
25,"Fraser, Josh",26y 119d,163 (86-0-77 52.76%),137 (0.84),←,
38,"Goldsack, Tyson",20y 347d,22 (11-0-11 50.00%),1 (0.05),←,
26,"Johnson, Ben",27y 28d,161 (84-0-77 52.17%),46 (0.29),←,
24,"Lockyer, Tarkyn",28y 186d,174 (82-0-92 47.13%),98 (0.56),←,
8,"Lumumba, Heritier",21y 170d,43 (24-0-19 55.81%),1 (0.02),←,
5,"Maxwell, Nick",24y 335d,78 (41-0-37 52.56%),18 (0.23),←,
7,"Medhurst, Paul",26y 144d,123 (63-0-60 51.22%),208 (1.69),24 (13-0-11 54.17%),42 (1.75)
11,"OBree, Shane",29y 49d,199 (98-0-101 49.25%),76 (0.38),180 (89-0-91 49.44%),73 (0.41)
10,"Pendlebury, Scott",20y 117d,39 (21-0-18 53.85%),26 (0.67),←,
39,"Shaw, Heath",22y 158d,60 (32-0-28 53.33%),13 (0.22),←,
22,"Shaw, Rhyce",26y 200d,81 (41-0-40 50.62%),16 (0.20),←,
36,"Swan, Dane",24y 68d,83 (42-0-41 50.60%),41 (0.49),←,
13,"Thomas, Dale",20y 317d,48 (27-0-21 56.25%),38 (0.79),←,
14,"Wakelin, Shane",33y 265d,239 (114-2-123 48.12%),20 (0.08),145 (73-0-72 50.34%),1 (0.01)
19,"Wood, Cameron",21y 60d,23 (6-0-17 26.09%),2 (0.09),7 (3-0-4 42.86%),2 (0.29)
Totals,Totals,24y 211d,2150 (1070-3-1077 49.77%),1319 (0.61),,
C,"Malthouse, Mick",54y 260d,571 (318-4-249 56.04%),,193 (95-0-98 49.22%),
