Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
11,"Bennell, Harley",22y 226d,72 (18-0-54 25.00%),87 (1.21),←,
36,"Broughton, Greg",28y 229d,108 (45-0-63 41.67%),19 (0.18),40 (16-0-24 40.00%),4 (0.10)
23,"Dixon, Charlie",24y 235d,53 (17-0-36 32.08%),65 (1.23),←,
33,"Hall, Aaron",24y 188d,50 (19-0-31 38.00%),46 (0.92),←,
14,"Hallahan, Mitch",22y 266d,10 (3-0-7 30.00%),3 (0.30),4 (0-0-4 0.00%),1 (0.25)
5,"Harbrow, Jarrod",26y 302d,153 (65-1-87 42.81%),46 (0.30),83 (25-0-58 30.12%),25 (0.30)
28,"Kolodjashnij, Kade",19y 280d,25 (8-0-17 32.00%),5 (0.20),←,
40,"Lemmens, Sean",20y 195d,24 (10-0-14 41.67%),5 (0.21),←,
21,"Leslie, Jack",20y 19d,3 (0-0-3 0.00%),,←,
37,"Lonergan, Jesse",20y 183d,16 (5-0-11 31.25%),2 (0.13),←,
32,"Matera, Brandon",23y 66d,59 (18-0-41 30.51%),66 (1.12),←,
18,"McKenzie, Trent",23y 43d,81 (24-0-57 29.63%),20 (0.25),←,
44,"Miller, Touk",19y 83d,7 (1-0-6 14.29%),3 (0.43),←,
22,"Nicholls, Tom",23y 73d,19 (7-0-12 36.84%),3 (0.16),←,
10,"Prestia, Dion",22y 216d,80 (21-0-59 26.25%),26 (0.32),←,
29,"Raines, Andrew",29y 69d,125 (43-1-81 34.80%),15 (0.12),2 (0-0-2 0.00%),
35,"Rischitelli, Michael",29y 128d,185 (68-3-114 37.57%),82 (0.44),74 (19-0-55 25.68%),35 (0.47)
20,"Schade, Henry",21y 220d,3 (1-0-2 33.33%),,←,
6,"Sexton, Alex",21y 164d,30 (8-0-22 26.67%),13 (0.43),←,
26,"Shaw, Matt",23y 100d,78 (21-0-57 26.92%),28 (0.36),←,
2,"Smith, Zac",25y 83d,60 (12-0-48 20.00%),30 (0.50),←,
25,"Stanley, Danny",27y 87d,81 (24-0-57 29.63%),38 (0.47),76 (23-0-53 30.26%),38 (0.50)
Totals,Totals,23y 223d,1322 (438-5-879 33.13%),602 (0.46),,
C,"Eade, Rodney",57y 42d,321 (170-4-147 53.58%),,7 (1-0-6 14.29%),
