Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",20y 290d,57 (11-1-45 20.18%),34 (0.60),←,
1,"Champion, Richard",24y 88d,33 (4-1-28 13.64%),12 (0.36),←,
12,"Clarke, Troy",23y 33d,26 (3-1-22 13.46%),12 (0.46),←,
4,"Gastev, John",27y 335d,105 (33-1-71 31.90%),66 (0.63),75 (16-1-58 22.00%),35 (0.47)
34,"Green, Ashley",19y 96d,14 (2-1-11 17.86%),1 (0.07),←,
14,"Hamilton, Shane",21y 328d,52 (14-0-38 26.92%),61 (1.17),25 (2-0-23 8.00%),21 (0.84)
11,"Hutton, John",26y 46d,14 (2-1-11 17.86%),34 (2.43),←,
8,"Jeffrey, Russell",26y 156d,48 (17-0-31 35.42%),4 (0.08),6 (1-0-5 16.67%),1 (0.17)
41,"Kennedy, Matthew",22y 158d,32 (4-0-28 12.50%),8 (0.25),←,
17,"Leslie, Martin",29y 237d,67 (13-1-53 20.15%),6 (0.09),←,
40,"McLuckie, Steven",19y 150d,12 (2-1-9 20.83%),8 (0.67),←,
24,"Merrett, Roger",32y 83d,237 (117-3-117 50.00%),256 (1.08),88 (20-1-67 23.30%),108 (1.23)
26,"Noonan, Danny",23y 225d,33 (4-1-28 13.64%),15 (0.45),←,
13,"Potter, Craig",26y 174d,49 (23-0-26 46.94%),19 (0.39),7 (1-0-6 14.29%),3 (0.43)
27,"Rendell, Matthew",33y 84d,171 (88-1-82 51.75%),103 (0.60),7 (1-0-6 14.29%),2 (0.29)
6,"Retzlaff, Brendon",23y 80d,11 (2-1-8 22.73%),2 (0.18),←,
23,"Schache, Laurence",24y 268d,27 (3-1-23 12.96%),61 (2.26),←,
33,"White, Darryl",19y 29d,15 (2-1-12 16.67%),14 (0.93),←,
18,"Worsfold, Peter",22y,20 (2-1-17 12.50%),18 (0.90),←,
21,"Zanotti, Mark",27y 246d,95 (27-0-68 28.42%),10 (0.11),59 (10-0-49 16.95%),4 (0.07)
Totals,Totals,24y 247d,1118 (373-17-728 33.36%),744 (0.67),,
C,"Walls, Robert",41y 356d,237 (120-2-115 51.05%),,38 (5-1-32 14.47%),
