St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
28,"Ackland, Cain",24y 73d,41 (25-0-16 60.98%),17 (0.41),29 (17-0-12 58.62%),14 (0.48)
10,"Baker, Steven",26y 6d,123 (55-1-67 45.12%),26 (0.21),←,
14,"Ball, Luke",22y 3d,72 (44-0-28 61.11%),42 (0.58),←,
27,"Blake, Jason",25y 74d,83 (39-1-43 47.59%),17 (0.20),←,
26,"Dal Santo, Nick",22y 95d,84 (45-1-38 54.17%),44 (0.52),←,
6,"Fisher, Leigh",22y 39d,12 (11-0-1 91.67%),2 (0.17),←,
25,"Fisher, Sam",23y 322d,37 (24-0-13 64.86%),3 (0.08),←,
9,"Gehrig, Fraser",30y 86d,221 (115-1-105 52.26%),432 (1.95),106 (52-0-54 49.06%),273 (2.58)
18,"Goddard, Brendon",21y 8d,69 (42-0-27 60.87%),19 (0.28),←,
15,"Gram, Jason",22y 31d,18 (9-0-9 50.00%),1 (0.06),16 (8-0-8 50.00%),1 (0.06)
35,"Harvey, Robert",34y 280d,326 (160-3-163 49.54%),192 (0.59),←,
7,"Hayes, Lenny",26y 134d,149 (64-2-83 43.62%),58 (0.39),←,
8,"Hudghton, Max",29y 268d,181 (79-2-100 44.20%),14 (0.08),←,
31,"Maguire, Matt",21y 363d,76 (40-0-36 52.63%),18 (0.24),←,
30,"McGough, Mark",21y 340d,47 (23-0-24 48.94%),14 (0.30),10 (5-0-5 50.00%),2 (0.20)
44,"Milne, Stephen",26y 81d,105 (47-1-57 45.24%),220 (2.10),←,
11,"Montagna, Leigh",22y 207d,38 (23-0-15 60.53%),30 (0.79),←,
1,"Peckett, Justin",33y 235d,239 (106-2-131 44.77%),48 (0.20),←,
12,"Riewoldt, Nick",23y 223d,100 (47-1-52 47.50%),181 (1.81),←,
40,"Schwarze, Troy",24y 156d,67 (30-1-36 45.52%),18 (0.27),←,
4,"Thompson, Andrew",33y 219d,203 (93-2-108 46.31%),93 (0.46),←,
13,"Voss, Brett",28y 95d,145 (70-2-73 48.97%),49 (0.34),110 (51-1-58 46.82%),38 (0.35)
Totals,Totals,25y 268d,2436 (1191-20-1225 48.89%),1538 (0.63),,
C,"Thomas, Grant",48y 103d,109 (54-1-54 50.00%),,←,
