0,1,2,3,4,5,6,7
←,"Round: Semi Final Venue: Subiaco Date: Fri, 14-Sep-2007 6:45 PM (8:45 PM) Attendance: 43627","Round: Semi Final Venue: Subiaco Date: Fri, 14-Sep-2007 6:45 PM (8:45 PM) Attendance: 43627","Round: Semi Final Venue: Subiaco Date: Fri, 14-Sep-2007 6:45 PM (8:45 PM) Attendance: 43627","Round: Semi Final Venue: Subiaco Date: Fri, 14-Sep-2007 6:45 PM (8:45 PM) Attendance: 43627","Round: Semi Final Venue: Subiaco Date: Fri, 14-Sep-2007 6:45 PM (8:45 PM) Attendance: 43627","Round: Semi Final Venue: Subiaco Date: Fri, 14-Sep-2007 6:45 PM (8:45 PM) Attendance: 43627",→
←,West Coast,0.4.4,5.5.35,8.9.57,10.12.72,10.14.74,→
←,Collingwood,1.5.11,4.8.32,7.11.53,10.12.72,13.15.93,→
←,Qrt margin,CW by 7,WC by 3,WC by 4,Drawn,CW by 19 (a.e.t.),→
←,Qrt scores,CW 11-4,WC 31-21,WC 22-21,CW 19-15,CW 21-2,→
←,Field umpires,"Stephen McBurney (260), Shaun Ryan (110), Shane McInerney (241)","Stephen McBurney (260), Shaun Ryan (110), Shane McInerney (241)","Stephen McBurney (260), Shaun Ryan (110), Shane McInerney (241)","Stephen McBurney (260), Shaun Ryan (110), Shane McInerney (241)","Stephen McBurney (260), Shaun Ryan (110), Shane McInerney (241)",→
