Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",11,5,7,18,1,,,3.0,,,,,2.0,,,,,,,,,,
32,"Baldwin, Jason",24,10,16,40,,1.0,,5.0,,,,,4.0,2.0,,,,,,,,,
37,"Bizzotto, Frank",5,3,6,11,,,,3.0,,,,,1.0,2.0,,,,,,,,,
34,"Boyd, Brad",7,4,10,17,,1.0,,2.0,,,,,,1.0,,,,,,,,,
17,"Broderick, Paul",16,4,11,27,,1.0,,4.0,,,,,1.0,,,,,,,,,,
2,"Dundas, Matthew",11,2,11,22,,,,1.0,,,,,1.0,,,,,,,,,,
18,"Dunstan, Michael",16,8,4,20,3,3.0,,1.0,,,,,2.0,2.0,,,,,,,,,
6,"Guard, Jeremy",3,,,3,1,,,1.0,,,,,,,,,,,,,,,
36,"Hawking, Simon",6,4,6,12,,,,2.0,,,,,2.0,1.0,1.0,,,,,,,,
26,"Johnston, David",7,2,7,14,,,,2.0,,,,,3.0,,,,,,,,,,
11,"Lynch, Alastair",11,8,4,15,2,1.0,,,,,,,2.0,2.0,,,,,,,,,
29,"Lyon, Ross",5,2,3,8,,1.0,,1.0,,,,,1.0,,,,,,,,,,
31,"Matthews, Ashley",2,1,2,4,1,,2.0,1.0,,,,,,,,,,,,,,,
25,"McCarthy, John",7,4,10,17,,,1.0,2.0,,,,,1.0,2.0,2.0,,,,,,,,
49,"McGregor, Anthony",15,5,5,20,,,,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Roos, Paul",16,8,6,22,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
9,"Sartori, Peter",13,14,12,25,1,,9.0,4.0,,,,,2.0,3.0,3.0,,,,,,,,
12,"Wheildon, Darren",12,7,4,16,4,2.0,,2.0,,,,,3.0,2.0,,,,,,,,,
8,"Wynd, Jim",18,6,2,20,1,,,,,,,,4.0,,,,,,,,,,
16,"Zanotti, Mark",17,3,5,22,,,,,,,,,4.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,100,131,353,14,14.0,12.0,39.0,,,,,35.0,19.0,6.0,,,,,,,,
Opposition,Opposition,182,77,119,301,11,9.0,17.0,20.0,,,,,19.0,35.0,,,,,,,,,
