St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Battle, Josh",10,6,6,16,1,,,1.0,3.0,2.0,,3.0,1.0,3.0,,8.0,9.0,2.0,,5.0,,,87.0
36,"Bonner, Riley",15,4,7,22,,,,,3.0,2.0,,2.0,1.0,,,4.0,14.0,,,1.0,1.0,,77.0
16,"Butler, Dan",9,4,2,11,2,,,4.0,,3.0,2.0,2.0,2.0,1.0,,5.0,5.0,1.0,2.0,1.0,,,77.0
13,"Byrnes, Ryan",9,1,4,13,,,,,2.0,3.0,,2.0,,,,2.0,10.0,1.0,,2.0,,,81.0
11,"Clark, Hunter",13,4,8,21,,1.0,,4.0,,5.0,1.0,4.0,,1.0,,9.0,13.0,,1.0,1.0,,,63.0
34 ↑,"Garcia, Hugo",2,1,3,5,,,,3.0,,,1.0,1.0,,,,1.0,4.0,,,,,,21.0
23 ↓,"Henry, Liam",5,4,6,11,,,,2.0,1.0,4.0,1.0,3.0,,1.0,,3.0,7.0,,1.0,1.0,,1.0,50.0
1,"Higgins, Jack",3,2,7,10,1,,,4.0,,2.0,1.0,1.0,1.0,,,4.0,7.0,1.0,1.0,,,1.0,84.0
8,"Hill, Bradley",10,2,8,18,,,,1.0,1.0,1.0,,2.0,,,,3.0,13.0,,1.0,,2.0,,86.0
20,"Howard, Dougal",7,2,3,10,,,,3.0,4.0,,,2.0,3.0,1.0,,5.0,5.0,,,1.0,,,88.0
3,"Jones, Zak",10,5,16,26,,,,7.0,,1.0,5.0,1.0,,1.0,,8.0,17.0,,,,,2.0,71.0
19,"Marshall, Rowan",20,5,6,26,,1.0,24.0,3.0,1.0,9.0,10.0,5.0,3.0,3.0,3.0,16.0,11.0,,,2.0,,,90.0
28,"Membrey, Tim",18,10,5,23,5,,,7.0,,5.0,,8.0,2.0,,1.0,11.0,12.0,3.0,4.0,2.0,,2.0,85.0
10,"Owens, Mitch",13,7,5,18,1,1.0,,2.0,1.0,3.0,,3.0,1.0,1.0,,5.0,14.0,1.0,3.0,3.0,,1.0,86.0
43,"Sharman, Cooper",6,6,5,11,2,1.0,,4.0,,1.0,,1.0,,,,2.0,9.0,,3.0,1.0,,2.0,85.0
35,"Sinclair, Jack",17,7,14,31,,,,2.0,3.0,5.0,4.0,6.0,2.0,,2.0,17.0,15.0,,1.0,5.0,,1.0,85.0
9,"Steele, Jack",17,9,14,31,1,,,5.0,1.0,7.0,3.0,6.0,1.0,,,9.0,22.0,,1.0,,,,86.0
14,"Stocker, Liam",4,6,10,14,,,,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,10.0,,,1.0,,,72.0
7,"Wanganeen-Milera, Nasiah",21,8,2,23,,,,2.0,,7.0,1.0,1.0,1.0,,,3.0,19.0,,,3.0,1.0,,79.0
29,"Webster, Jimmy",10,7,7,17,,,,,2.0,1.0,,,,,,6.0,12.0,,,2.0,2.0,,81.0
44,"Wilkie, Callum",13,11,5,18,,,,,3.0,,,,,,,2.0,15.0,,,5.0,,,100.0
22,"Wilson, Darcy",8,3,6,14,1,,,5.0,1.0,1.0,,3.0,2.0,,,4.0,10.0,,,,,,78.0
32,"Wood, Mason",14,9,5,19,3,4.0,,1.0,2.0,4.0,1.0,,1.0,,,4.0,14.0,,1.0,1.0,,1.0,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,254,123,154,408,17,11.0,24.0,65.0,29.0,67.0,31.0,58.0,22.0,13.0,6.0,137.0,267.0,9.0,19.0,37.0,6.0,11.0,
Opposition,Opposition,208,111,147,355,6,5.0,23.0,44.0,50.0,36.0,23.0,54.0,13.0,22.0,,108.0,239.0,9.0,7.0,33.0,11.0,5.0,
