Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Borlase, James",9,6,1,10,,,,1.0,1.0,2.0,,,3.0,,,5.0,6.0,1.0,,9.0,,,95.0
21,"Burgess, Chris",9,2,1,10,1,2.0,7.0,,,2.0,,2.0,2.0,1.0,,7.0,2.0,1.0,2.0,,,,87.0
5,"Crouch, Matt",7,5,21,28,,,,5.0,1.0,1.0,7.0,1.0,1.0,1.0,,15.0,13.0,,,,1.0,,74.0
12,"Dawson, Jordan",19,3,8,27,,,,5.0,2.0,7.0,4.0,7.0,1.0,1.0,,8.0,17.0,,,,,,80.0
32,"Fogarty, Darcy",7,4,4,11,,2.0,,,,3.0,,3.0,2.0,2.0,,5.0,6.0,,1.0,2.0,,,91.0
20,"Hinge, Mitch",15,6,4,19,,,,1.0,5.0,4.0,1.0,4.0,,1.0,,5.0,11.0,,,4.0,,,86.0
1,"Jones, Chayce",7,4,5,12,,,,1.0,4.0,1.0,1.0,,,,,4.0,10.0,,,1.0,,,87.0
48,"Keane, Mark",19,11,7,26,,,,,5.0,,,2.0,1.0,2.0,,3.0,18.0,,,3.0,,,97.0
2,"Keays, Ben",13,4,6,19,1,1.0,,1.0,1.0,2.0,3.0,3.0,,,,8.0,8.0,,,,,,84.0
29,"Laird, Rory",13,7,12,25,,,,6.0,4.0,3.0,4.0,2.0,,2.0,,7.0,20.0,,,1.0,,,78.0
25,"McHenry, Ned",9,3,4,13,1,,,1.0,,,,2.0,1.0,1.0,,4.0,11.0,,,1.0,,,73.0
16,"Michalanney, Max",10,7,3,13,,,,5.0,3.0,1.0,,2.0,,1.0,,3.0,9.0,1.0,,4.0,1.0,,85.0
30,"Milera, Wayne",10,4,3,13,,,,1.0,5.0,2.0,1.0,4.0,1.0,1.0,,3.0,8.0,,,1.0,,,57.0
4 ↑,"Murphy, Lachlan",3,1,1,4,,,,,,,,1.0,,,,1.0,4.0,,,,,,25.0
43,"OBrien, Reilly",2,3,5,7,,,33.0,2.0,1.0,1.0,1.0,5.0,,3.0,,3.0,3.0,1.0,,4.0,,,88.0
10 ↓,"Pedlar, Luke",3,2,1,4,,,,2.0,,,1.0,2.0,,2.0,,1.0,3.0,,,,,,40.0
8,"Rachele, Josh",9,3,4,13,,1.0,,,,3.0,,2.0,1.0,1.0,,5.0,8.0,,1.0,1.0,,1.0,71.0
23,"Rankine, Izak",9,4,7,16,,,,4.0,,3.0,2.0,2.0,2.0,,,7.0,9.0,,,2.0,,2.0,85.0
38,"Sholl, Lachlan",12,4,6,18,1,,,2.0,2.0,1.0,,2.0,,,,2.0,15.0,,,2.0,,,81.0
33,"Smith, Brodie",16,6,6,22,,,,2.0,4.0,2.0,,3.0,3.0,1.0,,5.0,15.0,,,2.0,,,79.0
14,"Soligo, Jake",13,5,8,21,,1.0,,,,2.0,3.0,2.0,1.0,1.0,,7.0,14.0,,,2.0,,,79.0
13,"Walker, Taylor",7,3,,7,,1.0,,2.0,,4.0,,2.0,,,,1.0,5.0,,1.0,2.0,,,98.0
24,"Worrell, Josh",10,8,7,17,,,,2.0,3.0,,,3.0,,2.0,,3.0,13.0,,,4.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,231,105,124,355,4,10.0,40.0,43.0,41.0,44.0,28.0,56.0,19.0,23.0,,112.0,228.0,4.0,5.0,45.0,2.0,3.0,
Opposition,Opposition,225,111,177,402,9,15.0,24.0,63.0,40.0,52.0,31.0,58.0,23.0,19.0,6.0,120.0,277.0,7.0,10.0,44.0,10.0,7.0,
