Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",21y 192d,41 (17-0-24 41.46%),7 (0.17),←,
20,"Black, Simon",28y 53d,200 (125-1-74 62.75%),129 (0.64),←,
16,"Brown, Jonathan",25y 209d,126 (87-0-39 69.05%),211 (1.67),←,
19,"Charman, Jamie",24y 314d,94 (59-1-34 63.30%),38 (0.40),←,
1,"Clark, Mitch",19y 219d,7 (2-0-5 28.57%),8 (1.14),←,
30,"Copeland, Robert",26y,118 (73-0-45 61.86%),20 (0.17),←,
39,"Drummond, Josh",24y 37d,23 (10-0-13 43.48%),13 (0.57),←,
4,"Fixter, Ben",25y 337d,54 (24-0-30 44.44%),11 (0.20),27 (10-0-17 37.04%),3 (0.11)
14,"Hadley, Richard",24y 58d,34 (22-0-12 64.71%),8 (0.24),←,
44,"Lappin, Nigel",30y 339d,262 (155-4-103 59.92%),171 (0.65),201 (123-3-75 61.94%),131 (0.65)
43,"McDonald, Beau",27y 204d,91 (58-1-32 64.29%),19 (0.21),←,
9,"McGrath, Ashley",24y 6d,92 (52-1-39 57.07%),94 (1.02),←,
21,"Merrett, Daniel",22y 165d,33 (13-0-20 39.39%),16 (0.48),←,
25,"Mills, Wayde",19y 270d,7 (2-0-5 28.57%),,←,
8,"Notting, Tim",28y 217d,165 (101-1-63 61.52%),118 (0.72),←,
24,"Patfull, Joel",22y 170d,24 (9-0-15 37.50%),11 (0.46),←,
6,"Power, Luke",27y 138d,185 (112-1-72 60.81%),182 (0.98),←,
35,"Rischitelli, Michael",21y 138d,31 (13-0-18 41.94%),15 (0.48),←,
29,"Roe, Jason",23y 74d,22 (8-0-14 36.36%),4 (0.18),←,
28,"Selwood, Troy",23y 25d,35 (14-0-21 40.00%),7 (0.20),←,
11,"Sherman, Justin",20y 120d,49 (20-0-29 40.82%),36 (0.73),←,
32,"Stiller, Cheynee",21y 23d,22 (7-0-15 31.82%),8 (0.36),←,
Totals,Totals,24y 67d,1715 (983-10-722 57.32%),1126 (0.66),,
C,"Matthews, Leigh",55y 86d,426 (252-6-168 59.86%),,202 (127-1-74 63.12%),
