Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
3,"Bartel, Jimmy",30y 193d,261 (184-2-75 70.88%),179 (0.69),←,
46,"Blicavs, Mark",23y 79d,34 (25-0-9 73.53%),9 (0.26),←,
22,"Duncan, Mitch",23y 5d,88 (68-0-20 77.27%),74 (0.84),←,
44,"Enright, Corey",32y 274d,276 (184-2-90 67.03%),58 (0.21),←,
29,"Guthrie, Cameron",21y 300d,52 (37-0-15 71.15%),8 (0.15),←,
36,"Hartman, Brad",19y 211d,1 (1-0-0 100.00%),,←,
26,"Hawkins, Tom",25y 329d,135 (106-0-29 78.52%),253 (1.87),←,
33,"Horlin-Smith, George",21y 175d,22 (17-0-5 77.27%),16 (0.73),←,
9,"Kelly, James",30y 168d,245 (168-1-76 68.78%),87 (0.36),←,
11,"Lang, Darcy",18y 206d,1 (1-0-0 100.00%),1 (1.00),←,
13,"Lonergan, Tom",30y 29d,133 (100-1-32 75.56%),51 (0.38),←,
4,"Mackie, Andrew",29y 312d,208 (160-0-48 76.92%),88 (0.42),←,
32,"Motlop, Steven",23y 95d,57 (39-0-18 68.42%),76 (1.33),←,
21,"Murdoch, Jordan",22y 84d,31 (23-0-8 74.19%),30 (0.97),←,
14,"Selwood, Joel",26y 20d,172 (139-0-33 80.81%),103 (0.60),←,
16,"Simpson, Dawson",25y 118d,21 (15-0-6 71.43%),3 (0.14),←,
2,"Smedts, Billie",22y 7d,30 (22-0-8 73.33%),18 (0.60),←,
27,"Stokes, Mathew",29y 205d,166 (131-0-35 78.92%),198 (1.19),←,
12,"Stringer, Jesse",23y 73d,19 (14-0-5 73.68%),8 (0.42),←,
7,"Taylor, Harry",28y 3d,148 (116-0-32 78.38%),38 (0.26),←,
5,"Varcoe, Travis",26y 66d,126 (106-0-20 84.13%),129 (1.02),←,
34,"Walker, Josh",21y 215d,13 (9-0-4 69.23%),11 (0.85),←,
Totals,Totals,25y 78d,2239 (1665-6-568 74.36%),1438 (0.64),,
C,"Scott, Chris",38y 43d,85 (65-0-20 76.47%),,←,
