Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Allan, Matthew",14,4,8,22,,1.0,39.0,,1.0,4.0,2.0,,2.0,1.0,,,,,,,,,
29,"Beaumont, Simon",11,3,9,20,,,,2.0,3.0,1.0,3.0,2.0,,1.0,,,,,,,,,
40,"Bourke, Tony",,,,,,,1.0,,,,,,,,,,,,,,,,
21,"Bradley, Craig",16,,9,25,,1.0,,2.0,4.0,5.0,5.0,2.0,2.0,1.0,,,,,,,,,
20,"Brown, Fraser",15,4,13,28,1,,,2.0,3.0,5.0,7.0,3.0,3.0,1.0,,,,,,,,,
16,"Camporeale, Scott",15,3,6,21,1,,,1.0,5.0,4.0,,,3.0,1.0,,,,,,,,,
34,"De Iulio, Ron",3,1,2,5,,,,,,,2.0,2.0,,1.0,,,,,,,,,
45,"Franchina, Anthony",1,2,4,5,,,,,,1.0,,,1.0,2.0,,,,,,,,,
36,"Hamill, Aaron",6,2,6,12,1,,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,
27,"Hulme, Darren",4,,7,11,,,,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,
43,"Koutoufides, Anthony",3,1,2,5,,,,2.0,,1.0,1.0,,,,,,,,,,,,
22,"Manton, Glenn",3,5,7,10,,,,,2.0,,1.0,,,2.0,,,,,,,,,
5,"McKay, Andrew",7,3,4,11,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,
18,"Murphy, Justin",10,3,5,15,,,,,,5.0,1.0,,2.0,1.0,,,,,,,,,
15,"Nelson, Ben",4,3,8,12,,,,1.0,1.0,,,,,,,,,,,,,,
19,"Pearce, Brad",7,3,1,8,2,,,,,2.0,,,1.0,1.0,,,,,,,,,
7,"Ratten, Brett",15,4,10,25,,,,2.0,,6.0,5.0,,3.0,2.0,,,,,,,,,
23,"Rice, Dean",10,2,6,16,1,1.0,,,2.0,2.0,1.0,,1.0,,,,,,,,,,
14,"Sexton, Michael",13,4,4,17,1,,1.0,1.0,3.0,2.0,1.0,3.0,,3.0,,,,,,,,,
1,"Silvagni, Stephen",17,5,3,20,,,,1.0,11.0,1.0,,5.0,1.0,3.0,2.0,,,,,,,,
30,"White, Adam",1,3,7,8,,,,1.0,,,,,,1.0,,,,,,,,,
8,"Whitnall, Lance",10,8,3,13,3,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,63,124,309,10,8.0,42.0,18.0,38.0,43.0,35.0,21.0,21.0,25.0,2.0,,,,,,,,
Opposition,Opposition,205,90,147,352,10,16.0,31.0,24.0,29.0,55.0,32.0,20.0,25.0,21.0,4.0,,,,,,,,
