Notes,Previous,Current
Brisbane Lions's highest score,"96 v Adelaide - R1,1997","189 v Adelaide - R17,2004"
Brisbane Lions's lowest score conceded,"132 v Adelaide - R1,1997","28 v Essendon - R9,2020"
