North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16 ↑,"Bonar, Aiden",3,1,5,8,,,,,,,,1.0,,,,4.0,3.0,,,2.0,,,57.0
4,"Corr, Aidan",15,11,4,19,,,,,,,,3.0,1.0,3.0,,6.0,14.0,3.0,,9.0,,,83.0
9 ↓,"Davies-Uniacke, Luke",1,,3,4,,,,1.0,,1.0,,1.0,1.0,,,2.0,5.0,,,1.0,,1.0,23.0
22,"Goldstein, Todd",3,1,5,8,,,20.0,1.0,1.0,,3.0,3.0,,2.0,,5.0,3.0,,,8.0,,,83.0
18,"Greenwood, Hugh",18,2,11,29,,,,10.0,1.0,4.0,9.0,5.0,1.0,1.0,2.0,16.0,12.0,,1.0,,,2.0,87.0
43,"Hall, Aaron",15,7,11,26,,,,1.0,7.0,5.0,,1.0,,,,7.0,17.0,,,3.0,,,84.0
6,"Horne-Francis, Jason",9,4,11,20,,1.0,,4.0,1.0,2.0,1.0,3.0,3.0,1.0,,13.0,9.0,,,,,1.0,72.0
20,"Larkey, Nick",11,7,5,16,6,3.0,,1.0,1.0,1.0,,1.0,3.0,,3.0,7.0,8.0,3.0,6.0,2.0,,,93.0
35,"Lazzaro, Charlie",2,4,4,6,,,,4.0,,,,2.0,1.0,2.0,,3.0,4.0,1.0,,1.0,,,79.0
1,"Mahony, Jack",8,5,9,17,1,1.0,,2.0,,2.0,,4.0,1.0,,,8.0,10.0,,2.0,1.0,,,80.0
11,"McDonald, Luke",14,4,6,20,,,,2.0,6.0,4.0,,6.0,1.0,3.0,,6.0,13.0,1.0,,3.0,,,90.0
13,"Polec, Jared",16,7,3,19,,1.0,,2.0,1.0,1.0,2.0,4.0,1.0,,,3.0,16.0,,,,1.0,,82.0
24,"Powell, Tom",10,4,10,20,,,,4.0,2.0,3.0,3.0,3.0,1.0,1.0,,7.0,14.0,,,2.0,,,74.0
8,"Scott, Bailey",11,3,6,17,,,,1.0,2.0,1.0,,2.0,1.0,,,3.0,13.0,,,,,,86.0
12,"Simpkin, Jy",8,2,8,16,,1.0,,1.0,2.0,1.0,5.0,2.0,1.0,,,10.0,9.0,,1.0,2.0,,1.0,87.0
5,"Taylor, Curtis",9,6,3,12,,,,2.0,,2.0,,2.0,,1.0,,,11.0,,,1.0,,,83.0
26,"Thomas, Tarryn",5,4,5,10,1,,,2.0,1.0,2.0,2.0,3.0,1.0,1.0,,3.0,8.0,1.0,,,2.0,,38.0
28,"Turner, Kayne",9,5,4,13,2,2.0,,7.0,1.0,3.0,,3.0,1.0,1.0,,3.0,10.0,,2.0,1.0,,1.0,91.0
19,"Walker, Josh",16,8,5,21,,,,2.0,9.0,,,2.0,2.0,,,2.0,17.0,,,4.0,,,92.0
38,"Xerri, Tristan",7,5,13,20,,,24.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,,14.0,6.0,2.0,,3.0,,,91.0
17,"Young, Lachie",9,2,7,16,,,,2.0,1.0,4.0,2.0,4.0,2.0,2.0,,6.0,12.0,,,1.0,1.0,,79.0
7,"Ziebell, Jack",24,14,5,29,,,,2.0,4.0,3.0,,5.0,1.0,2.0,1.0,4.0,21.0,1.0,,2.0,,1.0,85.0
44,"Zurhaar, Cameron",13,6,7,20,,1.0,,1.0,,8.0,1.0,1.0,1.0,,,9.0,12.0,1.0,2.0,2.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,236,112,150,386,10,14.0,44.0,54.0,41.0,48.0,33.0,63.0,25.0,21.0,6.0,141.0,247.0,13.0,14.0,48.0,4.0,7.0,
Opposition,Opposition,204,94,99,303,8,11.0,13.0,64.0,38.0,50.0,34.0,63.0,21.0,25.0,,114.0,180.0,6.0,8.0,46.0,4.0,3.0,
