Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Acres, Blake",20,10,14,34,1,,,2.0,4.0,6.0,4.0,3.0,,1.0,,8.0,26.0,,1.0,,,1.0,84.0
5,"Cerra, Adam",19,8,11,30,1,,,8.0,,5.0,3.0,4.0,2.0,2.0,,8.0,23.0,,1.0,1.0,,3.0,75.0
39,"Cincotta, Alex",9,4,8,17,,,,6.0,2.0,3.0,,1.0,1.0,1.0,,8.0,10.0,1.0,,2.0,1.0,1.0,80.0
9,"Cripps, Patrick",6,3,27,33,1,,,8.0,1.0,3.0,8.0,2.0,3.0,2.0,1.0,23.0,12.0,,,1.0,,1.0,77.0
30,"Curnow, Charlie",15,14,3,18,9,3.0,,,,3.0,,,1.0,,3.0,12.0,6.0,8.0,11.0,2.0,,2.0,90.0
35,"Curnow, Ed",10,5,6,16,,1.0,,3.0,1.0,1.0,,1.0,,1.0,,2.0,13.0,,1.0,,1.0,,78.0
15,"Docherty, Sam",15,6,9,24,,,,4.0,,5.0,3.0,2.0,,1.0,,7.0,15.0,1.0,3.0,,,3.0,73.0
19,"Durdin, Corey",6,1,4,10,1,1.0,,2.0,,1.0,,,,,,4.0,6.0,,1.0,,,,83.0
25,"Fisher, Zac",13,8,8,21,,3.0,,1.0,2.0,1.0,2.0,,,,,2.0,19.0,,1.0,2.0,1.0,1.0,79.0
29,"Hewett, George",14,5,18,32,,,,8.0,2.0,5.0,6.0,3.0,2.0,1.0,2.0,10.0,22.0,,,,,,85.0
14,"Hollands, Oliver",9,5,3,12,1,,,3.0,,4.0,,1.0,,,,2.0,9.0,,1.0,1.0,,,76.0
36,"Honey, Josh",4,1,4,8,1,,,2.0,,2.0,1.0,1.0,,1.0,,3.0,5.0,,1.0,1.0,,1.0,66.0
17,"Kemp, Brodie",18,13,4,22,1,,,,4.0,1.0,1.0,3.0,,,,5.0,16.0,2.0,,2.0,,,91.0
7 ↑,"Kennedy, Matthew",4,1,3,7,1,,,2.0,,2.0,2.0,,,,,3.0,4.0,,,,,,25.0
11,"McGovern, Mitch",6,1,2,8,,,,2.0,2.0,2.0,,1.0,2.0,,,2.0,5.0,,,3.0,,,66.0
10,"McKay, Harry",9,7,4,13,2,1.0,1.0,2.0,,3.0,1.0,3.0,,2.0,,4.0,9.0,1.0,5.0,2.0,,2.0,89.0
24,"Newman, Nic",26,14,8,34,1,1.0,,5.0,2.0,4.0,2.0,3.0,1.0,,,9.0,23.0,1.0,1.0,5.0,,,91.0
27,"Pittonet, Marc",7,1,6,13,,,35.0,6.0,,1.0,6.0,3.0,2.0,2.0,,11.0,4.0,,,5.0,,,85.0
42 ↓,"Saad, Adam",13,5,12,25,,,,2.0,5.0,1.0,,,,,,3.0,18.0,,,1.0,3.0,,58.0
1,"Silvagni, Jack",11,4,6,17,3,1.0,3.0,3.0,,,1.0,1.0,,,,2.0,13.0,,1.0,2.0,,1.0,77.0
18,"Walsh, Sam",12,5,18,30,,1.0,,10.0,,3.0,2.0,3.0,,,,5.0,25.0,,1.0,,,3.0,86.0
23,"Weitering, Jacob",10,10,7,17,,,,2.0,2.0,,1.0,2.0,,1.0,,3.0,15.0,,,8.0,,,100.0
33,"Young, Lewis",5,6,6,11,,,11.0,2.0,1.0,,,1.0,,,,2.0,9.0,,,8.0,,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,261,137,191,452,23,14.0,50.0,83.0,28.0,56.0,43.0,38.0,14.0,15.0,6.0,138.0,307.0,14.0,29.0,46.0,6.0,19.0,
Opposition,Opposition,156,57,129,285,6,8.0,34.0,64.0,33.0,34.0,38.0,44.0,16.0,14.0,,115.0,159.0,2.0,4.0,37.0,6.0,6.0,
