Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Bontempelli, Marcus",12,3,6,18,1,1.0,,4.0,1.0,6.0,1.0,2.0,1.0,,,5.0,14.0,1.0,1.0,1.0,5.0,1.0,84.0
17,"Bruce, Josh",15,10,6,21,10,2.0,,1.0,,,,2.0,2.0,1.0,3.0,11.0,10.0,2.0,9.0,1.0,,,90.0
31,"Dale, Bailey",11,4,12,23,2,,,1.0,2.0,2.0,1.0,1.0,,,,4.0,16.0,,1.0,2.0,3.0,1.0,83.0
35,"Daniel, Caleb",14,4,16,30,,,,2.0,5.0,1.0,,3.0,1.0,2.0,,5.0,20.0,,,4.0,1.0,,84.0
5,"Dunkley, Josh",12,5,21,33,1,2.0,,3.0,,3.0,5.0,3.0,,1.0,1.0,14.0,20.0,,,8.0,,,84.0
15,"Duryea, Taylor",13,7,8,21,,,,3.0,2.0,2.0,,5.0,1.0,,,6.0,13.0,,,2.0,,,86.0
44,"English, Tim",10,8,6,16,3,,8.0,,1.0,2.0,1.0,2.0,2.0,1.0,,7.0,9.0,3.0,2.0,,,,80.0
43 ↓,"Gardner, Ryan",,,,,,,,,,,,,,,,,,,,,,,1.0
7,"Hunter, Lachie",9,6,9,18,,,,1.0,2.0,2.0,,2.0,,1.0,,2.0,17.0,,1.0,1.0,,,85.0
39,"Johannisen, Jason",11,3,4,15,,,,1.0,2.0,4.0,,,1.0,,,3.0,12.0,,,,1.0,1.0,80.0
42,"Keath, Alex",7,6,9,16,,,,3.0,2.0,1.0,,2.0,1.0,,,6.0,10.0,3.0,,7.0,,,94.0
21,"Liberatore, Tom",13,3,12,25,,,,4.0,,10.0,12.0,4.0,1.0,,,16.0,9.0,,1.0,2.0,,,77.0
27 ↑,"Lipinski, Patrick",8,5,6,14,1,,,4.0,,4.0,,3.0,,1.0,,1.0,12.0,,1.0,,,2.0,82.0
11,"Macrae, Jack",17,3,16,33,,,,2.0,2.0,3.0,7.0,,3.0,,,13.0,20.0,,1.0,,,2.0,78.0
8,"Martin, Stefan",,,10,10,,,9.0,1.0,,,4.0,3.0,,3.0,,8.0,2.0,,,1.0,,2.0,77.0
30,"McNeil, Lachlan",5,1,4,9,1,2.0,,2.0,,2.0,,,,,,5.0,4.0,,,1.0,,,72.0
33,"Naughton, Aaron",12,7,2,14,2,2.0,,3.0,,4.0,,2.0,2.0,,,8.0,5.0,2.0,4.0,3.0,,1.0,79.0
28,"Scott, Anthony",8,4,7,15,1,,,3.0,,2.0,1.0,2.0,2.0,1.0,,5.0,12.0,,1.0,1.0,,,76.0
6,"Smith, Bailey",14,5,12,26,,2.0,,1.0,3.0,2.0,1.0,3.0,1.0,,,8.0,19.0,1.0,,1.0,1.0,2.0,85.0
1,"Treloar, Adam",16,3,11,27,3,1.0,,2.0,,9.0,3.0,1.0,1.0,,2.0,4.0,21.0,,,2.0,3.0,1.0,78.0
23,"Vandermeer, Laitham",5,3,4,9,,2.0,,2.0,,2.0,,2.0,1.0,,,5.0,4.0,1.0,2.0,,,2.0,74.0
34,"Williams, Bailey",11,4,8,19,,,,4.0,2.0,2.0,,2.0,,,,4.0,15.0,,,6.0,1.0,2.0,89.0
10,"Wood, Easton",11,8,11,22,,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,10.0,12.0,1.0,,1.0,,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,234,102,200,434,25,17.0,17.0,48.0,25.0,64.0,37.0,48.0,21.0,12.0,6.0,150.0,276.0,14.0,24.0,44.0,15.0,17.0,
Opposition,Opposition,213,123,123,336,5,9.0,34.0,52.0,38.0,33.0,24.0,55.0,12.0,21.0,,102.0,234.0,7.0,9.0,29.0,3.0,4.0,
