Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
14,"Armstrong, Matt",26y 88d,99 (42-0-57 42.42%),50 (0.51),←,
34,"Boyd, Brad",21y 291d,5 (3-0-2 60.00%),2 (0.40),←,
17,"Broderick, Paul",23y 145d,82 (34-0-48 41.46%),77 (0.94),←,
2,"Dundas, Matthew",21y 172d,65 (22-0-43 33.85%),55 (0.85),←,
18,"Dunstan, Michael",22y 77d,9 (5-0-4 55.56%),8 (0.89),←,
28,"Elliott, Jamie",20y 111d,35 (13-0-22 37.14%),3 (0.09),←,
7,"Gale, Michael",26y 158d,103 (41-0-62 39.81%),29 (0.28),←,
6,"Guard, Jeremy",22y 321d,31 (14-0-17 45.16%),9 (0.29),←,
26,"Johnston, David",24y 48d,51 (24-0-27 47.06%),7 (0.14),10 (3-0-7 30.00%),1 (0.10)
11,"Lynch, Alastair",24y 343d,109 (39-0-70 35.78%),126 (1.16),←,
29,"Lyon, Ross",26y 201d,99 (32-0-67 32.32%),91 (0.92),←,
30,"Manson, James",26y 207d,128 (74-3-51 58.98%),109 (0.85),8 (4-0-4 50.00%),3 (0.38)
25,"McCarthy, John",26y 59d,100 (42-1-57 42.50%),127 (1.27),8 (4-0-4 50.00%),26 (3.25)
43,"Morton, Danny",19y 331d,1 (0-0-1 0.00%),,←,
4,"Paxman, Stephen",22y 175d,33 (13-0-20 39.39%),5 (0.15),←,
1,"Roos, Paul",29y 335d,240 (101-0-139 42.08%),255 (1.06),←,
3,"Seecamp, Marcus",20y 305d,31 (14-0-17 45.16%),4 (0.13),←,
12,"Wheildon, Darren",22y 198d,49 (19-0-30 38.78%),117 (2.39),←,
8,"Wynd, Jim",28y 198d,104 (40-0-64 38.46%),47 (0.45),←,
16,"Zanotti, Mark",28y 201d,109 (33-0-76 30.28%),14 (0.13),9 (5-0-4 55.56%),3 (0.33)
Totals,Totals,24y 107d,1483 (605-4-874 40.80%),1135 (0.77),,
C,"Shaw, Robert",38y 142d,53 (18-0-35 33.96%),,←,
