Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",25y 204d,122 (47-1-74 38.93%),45 (0.37),91 (44-1-46 48.90%),33 (0.36)
14,"Aish, James",23y 155d,72 (27-0-45 37.50%),23 (0.32),40 (19-0-21 47.50%),15 (0.38)
17,"Brown, Callum",20y 350d,15 (5-0-10 33.33%),3 (0.20),←,
46,"Cox, Mason",28y 29d,48 (26-0-22 54.17%),57 (1.19),←,
25,"Crisp, Jack",25y 192d,114 (54-1-59 47.81%),45 (0.39),96 (47-1-48 49.48%),35 (0.36)
2,"de Goey, Jordan",23y 28d,75 (39-1-35 52.67%),95 (1.27),←,
5,"Elliott, Jamie",26y 234d,93 (53-1-39 57.53%),145 (1.56),←,
4,"Grundy, Brodie",24y 362d,112 (58-1-53 52.23%),36 (0.32),←,
38,"Howe, Jeremy",28y 287d,166 (54-1-111 32.83%),88 (0.53),66 (32-1-33 49.24%),8 (0.12)
8,"Langdon, Tom",24y 307d,84 (43-1-40 51.79%),3 (0.04),←,
37,"Maynard, Brayden",22y 204d,77 (35-1-41 46.10%),14 (0.18),←,
16,"Mayne, Chris",30y 161d,200 (112-1-87 56.25%),204 (1.02),28 (17-0-11 60.71%),8 (0.29)
41,"Mihocek, Brody",26y 67d,20 (13-0-7 65.00%),32 (1.60),←,
30,"Moore, Darcy",23y 77d,58 (22-1-35 38.79%),61 (1.05),←,
10,"Pendlebury, Scott",31y 95d,281 (169-2-110 60.50%),167 (0.59),←,
21,"Phillips, Tom",22y 340d,54 (29-1-24 54.63%),30 (0.56),←,
23,"Roughead, Jordan",28y 160d,142 (65-0-77 45.77%),34 (0.24),4 (2-0-2 50.00%),
22,"Sidebottom, Steele",28y 100d,215 (131-3-81 61.63%),152 (0.71),←,
1,"Stephenson, Jaidyn",20y 87d,30 (19-0-11 63.33%),42 (1.40),←,
24,"Thomas, Josh",27y 193d,71 (44-1-26 62.68%),67 (0.94),←,
7,"Treloar, Adam",26y 34d,143 (51-1-91 36.01%),90 (0.63),64 (31-1-32 49.22%),42 (0.66)
18,"Varcoe, Travis",31y 2d,208 (150-0-58 72.12%),162 (0.78),70 (36-0-34 51.43%),32 (0.46)
Totals,Totals,25y 333d,2400 (1246-18-1136 51.92%),1595 (0.66),,
C,"Buckley, Nathan",46y 260d,166 (89-1-76 53.92%),,←,
