Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Ablett, Gary",18,8.0,13,31,1.0,,,2.0,2.0,5.0,4.0,5.0,,1.0,,11,20,,,,,2.0,82.0
24,"Bews, Jed",2,,6,8,,,,2.0,2.0,1.0,1.0,,,,,4,5,,,2.0,,,79.0
46,"Blicavs, Mark",5,5.0,9,14,,,,4.0,2.0,,,,,,,4,10,,,4.0,,,97.0
31,"Cunico, Jordan",4,1.0,4,8,,,,4.0,,2.0,,1.0,,1.0,,2,6,,,,,2.0,82.0
35,"Dangerfield, Patrick",11,5.0,20,31,1.0,1.0,,1.0,,3.0,4.0,1.0,1.0,,2.0,15,17,2.0,2.0,1.0,,2.0,80.0
22,"Duncan, Mitch",16,8.0,11,27,,,,4.0,6.0,4.0,3.0,,1.0,,,5,22,,,1.0,,,84.0
13,"Fogarty, Lachie",6,4.0,7,13,,,,,1.0,1.0,,2.0,,,,3,10,,,,1.0,,75.0
29,"Guthrie, Cameron",13,7.0,9,22,,,,3.0,3.0,1.0,,4.0,1.0,2.0,,4,18,,,1.0,,,81.0
26,"Hawkins, Tom",9,9.0,5,14,3.0,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,5,9,2.0,4.0,2.0,,2.0,91.0
38,"Henry, Jack",6,6.0,6,12,,,,6.0,3.0,,,,,,,3,8,1.0,,5.0,,,79.0
11,"Kelly, Tim",17,4.0,17,34,1.0,,,4.0,2.0,5.0,5.0,7.0,,,,12,22,,,,,,78.0
8,"Kolodjashnij, Jake",1,,6,7,,,,1.0,,,,5.0,,5.0,,2,5,,,4.0,,,89.0
27,"Menegola, Sam",11,8.0,10,21,2.0,,,6.0,1.0,3.0,,2.0,,2.0,,4,17,,1.0,1.0,,,88.0
21,"Murdoch, Jordan",10,2.0,1,11,1.0,2.0,,6.0,3.0,3.0,,1.0,,1.0,,3,8,,,,1.0,,81.0
19,"Narkle, Quinton",9,4.0,5,14,2.0,1.0,,6.0,1.0,5.0,2.0,1.0,2.0,,,4,10,,1.0,,,,69.0
3,"Parfitt, Brandan",7,1.0,6,13,1.0,,,5.0,,4.0,,5.0,1.0,1.0,,5,8,,,,,,82.0
34,"Parsons, James",3,1.0,6,9,,1.0,,3.0,,,,1.0,,,,2,9,,,,,1.0,76.0
14,"Selwood, Joel",13,4.0,21,34,,1.0,,6.0,3.0,4.0,9.0,3.0,5.0,1.0,1.0,17,15,,1.0,2.0,,,81.0
1,"Stanley, Rhys",8,4.0,11,19,1.0,,36.0,3.0,,2.0,6.0,3.0,1.0,3.0,,10,10,2.0,1.0,3.0,,,83.0
44,"Stewart, Tom",12,2.0,9,21,,,,3.0,8.0,2.0,1.0,1.0,1.0,,,8,10,1.0,,8.0,3.0,,81.0
7,"Taylor, Harry",12,5.0,5,17,2.0,3.0,2.0,3.0,,1.0,3.0,,1.0,,,6,11,2.0,5.0,4.0,,2.0,73.0
2,"Tuohy, Zach",20,5.0,8,28,,,,2.0,3.0,5.0,1.0,2.0,,,,4,23,,,1.0,2.0,1.0,91.0
Totals,Totals,213,93.0,195,408,15.0,11.0,40.0,75.0,40.0,52.0,39.0,45.0,15.0,18.0,3.0,133,273,10.0,15.0,39.0,7.0,12.0,
Opposition,Opposition,201,80.0,194,395,16.0,7.0,35.0,69.0,34.0,57.0,34.0,47.0,18.0,15.0,3.0,148,248,7.0,10.0,56.0,5.0,8.0,
