Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Ablett, Gary",14,9,2,16,7,6.0,,1.0,,,,,1.0,3.0,2.0,,,,,,,,
6,"Barnes, John",11,7,8,19,,,23.0,,,,,,1.0,1.0,,,,,,,,,
9,"Breuer, Shayne",11,1,8,19,3,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
16,"Brownless, Bill",,,,,,,1.0,,,,,,,,,,,,,,,,
40,"Brown, Paul",2,,2,4,,,,,,,,,1.0,,,,,,,,,,
7,"Couch, Paul",16,3,11,27,1,1.0,,,,,,,1.0,,,,,,,,,,
28,"Darcy, Tim",13,8,3,16,1,,,,,,,,1.0,1.0,,,,,,,,,
33,"Forssman, Darren",6,3,3,9,,3.0,,1.0,,,,,,1.0,,,,,,,,,
36,"Graham, Ben",5,3,2,7,1,1.0,2.0,1.0,,,,,1.0,3.0,,,,,,,,,
42,"Hickmott, Adrian",12,4,11,23,,,,4.0,,,,,,2.0,,,,,,,,,
32,"Hocking, Garry",14,3,10,24,,3.0,,2.0,,,,,3.0,4.0,1.0,,,,,,,,
1,"Hocking, Steve",7,5,21,28,,,,2.0,,,,,2.0,1.0,,,,,,,,,
24,"Lord, Aaron",3,1,4,7,,,,,,,,,,,,,,,,,,,
21,"Mansfield, Michael",10,5,5,15,,,,6.0,,,,,2.0,1.0,,,,,,,,,
17,"McGrath, Tim",14,5,5,19,,,,1.0,,,,,3.0,,3.0,,,,,,,,
31,"Mensch, David",9,4,8,17,,,,1.0,,,,,,1.0,,,,,,,,,
20,"OReilly, Stephen",3,1,6,9,,,,1.0,,,,,1.0,,,,,,,,,,
23,"Pickering, Liam",11,7,12,23,2,,,,,,,,,,,,,,,,,,
15,"Riccardi, Peter",16,5,6,22,1,,,,,,,,1.0,,,,,,,,,,
8,"Scott, Robert",12,3,3,15,,,,2.0,,,,,,,,,,,,,,,
4,"Wills, Andrew",15,4,7,22,1,1.0,,2.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,81,137,341,17,18.0,26.0,26.0,,,,,19.0,19.0,6.0,,,,,,,,
Opposition,Opposition,174,38,92,266,15,15.0,10.0,26.0,,,,,19.0,19.0,,,,,,,,,
