Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
18,"Cameron, Leon",23y 351d,116 (59-2-55 51.72%),49 (0.42),←,
21,"Campbell, Tony",29y 5d,118 (64-0-54 54.24%),65 (0.55),43 (25-0-18 58.14%),4 (0.09)
14,"Darcy, Luke",21y 37d,22 (6-1-15 29.55%),10 (0.45),←,
28,"Dimattina, Paul",21y 270d,11 (4-0-7 36.36%),1 (0.09),←,
32,"Ellis, Craig",21y 75d,20 (8-0-12 40.00%),,←,
3,"Grant, Chris",23y 249d,142 (70-3-69 50.35%),275 (1.94),←,
37,"Hargraves, Daniel",20y 207d,32 (13-0-19 40.63%),54 (1.69),←,
13,"Jakovich, Allen",28y 150d,53 (26-1-26 50.00%),207 (3.91),6 (1-1-4 25.00%),6 (1.00)
6,"Johnson, Brad",20y 31d,50 (19-2-29 40.00%),29 (0.58),←,
4,"Kellett, Nigel",26y 244d,95 (46-2-47 49.47%),41 (0.43),←,
2,"Kolyniuk, Steven",26y 44d,118 (58-1-59 49.58%),127 (1.08),←,
35,"Kretiuk, Steven",24y 45d,59 (32-1-26 55.08%),9 (0.15),←,
39,"Liberatore, Tony",30y 189d,171 (88-3-80 52.34%),81 (0.47),←,
22,"Quill, Peter",26y 361d,62 (31-2-29 51.61%),19 (0.31),←,
36,"Romero, Jose",25y 17d,124 (62-1-61 50.40%),118 (0.95),35 (13-1-21 38.57%),20 (0.57)
5,"Smith, Rohan",23y 79d,73 (35-2-36 49.32%),39 (0.53),←,
24,"Wallis, Stephen",31y 296d,259 (130-4-125 50.97%),57 (0.22),←,
25,"Watts, Jason",25y 20d,50 (22-1-27 45.00%),47 (0.94),←,
34,"West, Mark",23y 137d,2 (1-0-1 50.00%),,←,
45,"Wira, Brad",24y 155d,20 (5-1-14 27.50%),1 (0.05),19 (5-1-13 28.95%),1 (0.05)
15,"Wynd, Scott",26y 206d,145 (69-3-73 48.62%),24 (0.17),←,
Totals,Totals,24y 342d,1742 (848-30-864 48.68%),1253 (0.72),,
C,"Wallace, Terry",37y 249d,8 (3-0-5 37.50%),,←,
