Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
21,"Buntine, Matt",22y 167d,29 (10-0-19 34.48%),1 (0.03),←,
3,"Coniglio, Stephen",22y 110d,63 (19-0-44 30.16%),22 (0.35),←,
35,"Corr, Aidan",21y 322d,35 (10-0-25 28.57%),1 (0.03),←,
1,"Davis, Phil",25y 217d,78 (27-0-51 34.62%),6 (0.08),60 (16-0-44 26.67%),5 (0.08)
4,"Greene, Toby",22y 191d,77 (19-0-58 24.68%),35 (0.45),←,
32,"Griffen, Ryan",29y 251d,225 (109-1-115 48.67%),139 (0.62),23 (12-0-11 52.17%),9 (0.39)
33,"Hoskin-Elliott, Will",22y 214d,51 (12-0-39 23.53%),42 (0.82),←,
17,"Johnson, Steve",32y 274d,255 (179-3-73 70.78%),456 (1.79),2 (1-0-1 50.00%),4 (2.00)
22,"Kelly, Josh",21y 51d,38 (14-0-24 36.84%),20 (0.53),←,
40,"Kennedy, Adam",23y 266d,63 (12-0-51 19.05%),4 (0.06),←,
37,"Lobb, Rory",23y 54d,13 (4-0-9 30.77%),10 (0.77),←,
34,"Marchbank, Caleb",19y 118d,7 (2-0-5 28.57%),,←,
41,"Mumford, Shane",29y 273d,130 (83-2-45 64.62%),45 (0.35),30 (14-0-16 46.67%),6 (0.20)
7,"Palmer, Rhys",27y 50d,112 (35-0-77 31.25%),82 (0.73),59 (14-0-45 23.73%),59 (1.00)
12,"Patton, Jonathon",22y 319d,33 (8-0-25 24.24%),37 (1.12),←,
9,"Scully, Tom",24y 324d,105 (30-1-74 29.05%),36 (0.34),74 (17-0-57 22.97%),30 (0.41)
23,"Shaw, Heath",30y 128d,215 (128-2-85 60.00%),38 (0.18),42 (18-0-24 42.86%),1 (0.02)
5,"Shiel, Dylan",23y 25d,66 (16-0-50 24.24%),34 (0.52),←,
10,"Smith, Devon",22y 319d,81 (21-0-60 25.93%),72 (0.89),←,
8,"Ward, Callan",25y 359d,145 (52-0-93 35.86%),71 (0.49),85 (20-0-65 23.53%),38 (0.45)
6,"Whitfield, Lachie",21y 260d,53 (15-0-38 28.30%),22 (0.42),←,
16,"Wilson, Nathan",23y 87d,34 (10-0-24 29.41%),10 (0.29),←,
Totals,Totals,24y 182d,1908 (815-9-1084 42.71%),1183 (0.62),,
C,"Cameron, Leon",43y 214d,46 (18-0-28 39.13%),,←,
