Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
9,"Bizzell, Clint",24y 24d,51 (22-1-28 44.12%),40 (0.78),←,
8,"Burns, Ronnie",27y 131d,99 (53-2-44 54.55%),178 (1.80),←,
14,"Clarke, David",20y 68d,32 (15-1-16 48.44%),20 (0.63),←,
11,"Corey, Joel",18y 156d,4 (2-0-2 50.00%),2 (0.50),←,
7,"Graham, Ben",26y 263d,127 (77-1-49 61.02%),36 (0.28),←,
37,"Harley, Tom",22y 4d,30 (17-1-12 58.33%),1 (0.03),29 (16-1-12 56.90%),
32,"Hocking, Garry",31y 288d,254 (141-3-110 56.10%),229 (0.90),←,
3,"Houlihan, Adam",22y 107d,45 (28-1-16 63.33%),59 (1.31),←,
13,"Kilpatrick, Glenn",27y 328d,111 (61-1-49 55.41%),27 (0.24),85 (47-1-37 55.88%),23 (0.27)
1,"King, Steven",21y 243d,83 (43-1-39 52.41%),36 (0.43),←,
45,"Ling, Cameron",19y 146d,9 (5-1-3 61.11%),3 (0.33),←,
17,"McGrath, Tim",29y 289d,204 (121-2-81 59.80%),16 (0.08),197 (117-2-78 59.90%),16 (0.08)
39,"Milburn, Darren",23y 98d,60 (28-0-32 46.67%),36 (0.60),←,
21,"Mooney, Cameron",20y 300d,15 (12-0-3 80.00%),6 (0.40),4 (2-0-2 50.00%),4 (1.00)
27,"Sanderson, Brenton",26y 146d,122 (64-2-56 53.28%),27 (0.22),112 (62-2-48 56.25%),22 (0.20)
30,"Scarlett, Matthew",21y 47d,24 (15-0-9 62.50%),3 (0.13),←,
12,"Sholl, Brad",27y 255d,132 (74-2-56 56.82%),38 (0.29),130 (74-2-54 57.69%),38 (0.29)
4,"Snell, Jason",22y 361d,62 (33-0-29 53.23%),57 (0.92),←,
6,"Spriggs, David",19y 179d,18 (10-1-7 58.33%),5 (0.28),←,
20,"Steinfort, Carl",23y 112d,62 (32-0-30 51.61%),19 (0.31),←,
26,"Stoneham, Barry",32y 164d,240 (138-3-99 58.13%),223 (0.93),←,
40,"Wojcinski, David",19y 308d,11 (6-0-5 54.55%),1 (0.09),←,
Totals,Totals,24y 17d,1795 (997-23-775 55.54%),1062 (0.59),,
C,"Thompson, Mark",36y 246d,20 (11-1-8 57.50%),,←,
