Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
3,"Bizzell, Clint",27y 329d,126 (54-1-71 43.25%),79 (0.63),51 (22-0-29 43.14%),7 (0.14)
25,"Brown, Nathan",27y 282d,82 (39-0-43 47.56%),23 (0.28),←,
32,"Bruce, Cameron",24y 235d,93 (47-0-46 50.54%),118 (1.27),←,
36,"Davey, Aaron",20y 347d,9 (7-0-2 77.78%),18 (2.00),←,
30,"Godfrey, Simon",23y 217d,55 (25-0-30 45.45%),8 (0.15),←,
18,"Green, Brad",23y 70d,92 (46-0-46 50.00%),146 (1.59),←,
1,"Heffernan, Chris",25y 114d,122 (75-1-46 61.89%),45 (0.37),25 (8-0-17 32.00%),7 (0.28)
4,"Holland, Ben",27y 12d,134 (69-0-65 51.49%),134 (1.00),9 (7-0-2 77.78%),10 (1.11)
16,"Johnstone, Travis",23y 310d,93 (44-0-49 47.31%),73 (0.78),←,
23,"McDonald, James",27y 230d,120 (57-0-63 47.50%),34 (0.28),←,
7,"Miller, Brad",20y 321d,29 (13-0-16 44.83%),6 (0.21),←,
9,"Neitz, David",29y 121d,235 (107-0-128 45.53%),458 (1.95),←,
8,"Nicholson, Alistair",26y 79d,82 (42-0-40 51.22%),3 (0.04),←,
27,"Rivers, Jared",19y 217d,12 (7-0-5 58.33%),,←,
24,"Robertson, Russell",25y 180d,130 (63-0-67 48.46%),198 (1.52),←,
12,"Sylvia, Colin",18y 196d,1 (1-0-0 100.00%),,←,
6,"Thompson, Scott",21y 69d,36 (15-0-21 41.67%),16 (0.44),←,
19,"Vardy, Peter",28y 117d,129 (64-0-65 49.61%),195 (1.51),33 (16-0-17 48.48%),45 (1.36)
31,"Wheatley, Paul",23y 40d,60 (34-0-26 56.67%),22 (0.37),←,
45,"Whelan, Matthew",24y 191d,77 (36-0-41 46.75%),9 (0.12),←,
34,"White, Jeff",27y 93d,170 (82-0-88 48.24%),75 (0.44),138 (69-0-69 50.00%),57 (0.41)
13,"Yze, Adem",26y 244d,196 (87-0-109 44.39%),142 (0.72),←,
Totals,Totals,24y 249d,2083 (1014-2-1067 48.68%),1802 (0.87),,
C,"Daniher, Neale",43y 97d,149 (73-0-76 48.99%),,←,
