Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
3,"AhMat, Matthew",17y 58d,3 (0-0-3 0.00%),1 (0.33),←,
10,"Ashcroft, Marcus",19y 333d,44 (9-0-35 20.45%),18 (0.41),←,
22,"Bain, David",25y 114d,58 (13-0-45 22.41%),36 (0.62),←,
25,"Campbell, Matthew",27y 206d,60 (14-0-46 23.33%),19 (0.32),←,
1,"Champion, Richard",23y 132d,17 (2-0-15 11.76%),7 (0.41),←,
12,"Clarke, Troy",22y 77d,11 (1-0-10 9.09%),6 (0.55),←,
4,"Gastev, John",27y 13d,89 (31-0-58 34.83%),63 (0.71),59 (14-0-45 23.73%),32 (0.54)
41,"Kennedy, Matthew",21y 201d,20 (3-0-17 15.00%),1 (0.05),←,
53,"Kidgell, Ian",20y 276d,2 (0-0-2 0.00%),1 (0.50),←,
17,"Leslie, Martin",28y 280d,52 (12-0-40 23.08%),4 (0.08),←,
50,"Luhrs, Simon",21y 67d,5 (0-0-5 0.00%),,←,
19,"McLean, Michael",26y 174d,116 (50-2-64 43.97%),33 (0.28),21 (3-0-18 14.29%),10 (0.48)
24,"Merrett, Roger",31y 127d,226 (116-2-108 51.77%),248 (1.10),77 (19-0-58 24.68%),100 (1.30)
26,"Noonan, Danny",22y 268d,16 (2-0-14 12.50%),5 (0.31),←,
34,"Ogg, David",23y 274d,8 (0-0-8 0.00%),2 (0.25),←,
30,"Ryan, Matthew",24y 83d,70 (24-1-45 35.00%),59 (0.84),15 (3-0-12 20.00%),7 (0.47)
23,"Schache, Laurence",23y 311d,16 (3-0-13 18.75%),44 (2.75),←,
48,"Windsor, Ray",19y 13d,8 (2-0-6 25.00%),3 (0.38),←,
35,"Worsfold, Peter",21y 44d,9 (0-0-9 0.00%),12 (1.33),←,
21,"Zanotti, Mark",26y 289d,85 (26-0-59 30.59%),9 (0.11),49 (9-0-40 18.37%),3 (0.06)
Totals,Totals,23y 258d,915 (308-5-602 33.66%),571 (0.62),,
C,"Walls, Robert",41y 34d,220 (118-1-101 53.86%),,21 (3-0-18 14.29%),
