Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",28y 162d,199 (124-0-75 62.31%),113 (0.57),←,
12,"Blakey, John",35y 40d,346 (185-0-161 53.47%),107 (0.31),211 (133-0-78 63.03%),69 (0.33)
22,"Burton, Matthew",31y 106d,114 (44-0-70 38.60%),49 (0.43),44 (22-0-22 50.00%),17 (0.39)
23,"Clayton, Shane",22y 313d,87 (45-0-42 51.72%),34 (0.39),69 (43-0-26 62.32%),33 (0.48)
45,"Cochrane, Stuart",23y 44d,33 (15-0-18 45.45%),6 (0.18),←,
29,"Harvey, Brent",23y 111d,109 (70-0-39 64.22%),118 (1.08),←,
30,"Hilton, Mark",21y 249d,1 (0-0-1 0.00%),,←,
34,"King, David",29y 179d,176 (114-0-62 64.77%),89 (0.51),←,
35,"Makepeace, Troy",22y 180d,39 (20-0-19 51.28%),12 (0.31),←,
5,"McCartney, Jason",27y 172d,167 (92-0-75 55.09%),54 (0.32),92 (58-0-34 63.04%),6 (0.07)
31,"McKernan, Corey",27y 257d,182 (119-0-63 65.38%),233 (1.28),←,
8,"McLaren, Joe",23y 265d,69 (26-1-42 38.41%),39 (0.57),12 (5-0-7 41.67%),6 (0.50)
19,"Motlop, Daniel",19y 170d,2 (0-0-2 0.00%),,←,
44,"Motlop, Shannon",23y 15d,42 (25-0-17 59.52%),24 (0.57),←,
20,"Petrie, Drew",18y 322d,9 (3-0-6 33.33%),,←,
28,"Pickett, Byron",24y 22d,98 (62-0-36 63.27%),41 (0.42),←,
3,"Rawlings, Brady",20y 84d,39 (25-0-14 64.10%),16 (0.41),←,
26,"Rocca, Saverio",27y 286d,177 (78-2-97 44.63%),562 (3.18),21 (8-0-13 38.10%),48 (2.29)
7,"Simpson, Adam",25y 198d,136 (90-0-46 66.18%),43 (0.32),←,
9,"Sinclair, Jess",23y 7d,68 (19-0-49 27.94%),35 (0.51),18 (6-0-12 33.33%),9 (0.50)
25,"Spaull, John",24y 13d,8 (4-0-4 50.00%),5 (0.63),←,
40,"Teague, David",20y 120d,10 (4-0-6 40.00%),1 (0.10),←,
Totals,Totals,24y 250d,2111 (1164-3-944 55.14%),1581 (0.75),,
C,"Pagan, Denis",53y 343d,217 (138-0-79 63.59%),,←,
