Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Bateman, Chance",27y 28d,108 (51-0-57 47.22%),32 (0.30),←,
14,"Birchall, Grant",20y 173d,56 (33-0-23 58.93%),6 (0.11),←,
30,"Brown, Campbell",24y 326d,112 (52-0-60 46.43%),38 (0.34),←,
39,"Campbell, Robert",26y 47d,94 (49-0-45 52.13%),23 (0.24),←,
24,"Croad, Trent",28y 132d,213 (101-1-111 47.65%),189 (0.89),175 (81-1-93 46.57%),129 (0.74)
8,"Ellis, Xavier",20y 142d,29 (21-0-8 72.41%),5 (0.17),←,
23,"Franklin, Lance",21y 171d,72 (36-0-36 50.00%),198 (2.75),←,
27,"Gilham, Stephen",23y 321d,45 (31-0-14 68.89%),1 (0.02),44 (31-0-13 70.45%),1 (0.02)
18,"Guerra, Brent",26y 51d,147 (101-0-46 68.71%),89 (0.61),51 (32-0-19 62.75%),6 (0.12)
15,"Hodge, Luke",24y 34d,124 (58-0-66 46.77%),89 (0.72),←,
4,"Ladson, Rick",24y 152d,90 (42-0-48 46.67%),36 (0.40),←,
3,"Lewis, Jordan",22y 86d,74 (35-0-39 47.30%),22 (0.30),←,
5,"Mitchell, Sam",25y 281d,124 (59-0-65 47.58%),21 (0.17),←,
35,"Morton, Jarryd",19y 288d,8 (5-0-3 62.50%),,←,
29,"Murphy, Tom",22y 122d,23 (11-0-12 47.83%),3 (0.13),←,
7,"Osborne, Michael",25y 356d,92 (41-0-51 44.57%),43 (0.47),←,
33,"Rioli, Cyril",19y 5d,16 (13-0-3 81.25%),15 (0.94),←,
2,"Roughead, Jarryd",21y 178d,74 (39-0-35 52.70%),110 (1.49),←,
12,"Sewell, Brad",24y 168d,76 (35-0-41 46.05%),9 (0.12),←,
13,"Taylor, Simon",25y 336d,61 (31-0-30 50.82%),15 (0.25),←,
22,"Tuck, Travis",20y 316d,8 (5-0-3 62.50%),1 (0.13),←,
6,"Williams, Mark",25y 97d,89 (36-0-53 40.45%),208 (2.34),←,
Totals,Totals,23y 240d,1735 (885-1-849 51.01%),1153 (0.66),,
C,"Clarkson, Alastair",40y 83d,84 (41-0-43 48.81%),,←,
