Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",11.0,4.0,3.0,14,3.0,1.0,,2.0,,3.0,,7.0,1.0,2.0,,6,7,,1.0,2.0,,,88.0
15,"Anderson, Noah",18.0,3.0,3.0,21,,,,6.0,2.0,6.0,6.0,4.0,,,,11,8,,,,,,89.0
10,"Ballard, Charlie",14.0,10.0,1.0,15,,,,2.0,4.0,3.0,,1.0,1.0,,,2,12,,,6.0,,,97.0
35,"Budarick, Connor",5.0,2.0,3.0,8,,,,4.0,3.0,,1.0,2.0,1.0,1.0,,2,5,,,,,,77.0
30,"Casboult, Levi",4.0,2.0,3.0,7,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,5,2,2.0,1.0,,,,100.0
1,"Chol, Mabior",6.0,4.0,3.0,9,1.0,2.0,2.0,1.0,,1.0,1.0,3.0,1.0,1.0,,6,3,3.0,2.0,1.0,,,87.0
25,"Collins, Sam",6.0,6.0,4.0,10,,,,2.0,1.0,1.0,,,2.0,,,5,7,1.0,,13.0,,,100.0
4,"Ellis, Brandon",11.0,3.0,4.0,15,1.0,,,,,2.0,2.0,2.0,1.0,1.0,,3,13,,1.0,,,1.0,92.0
50,"Farrar, Jy",13.0,6.0,1.0,14,1.0,,,2.0,4.0,1.0,,,1.0,,,3,8,,,2.0,,,38.0
8,"Fiorini, Brayden",4.0,,5.0,9,,,,4.0,1.0,2.0,3.0,,,,,6,2,,,,,,61.0
7,"Holman, Nick",,,5.0,5,,,,5.0,,,,,,,,4,1,,,2.0,,,70.0
40,"Jeffrey, Joel",10.0,5.0,,10,5.0,,,2.0,,1.0,,1.0,,,,4,6,2.0,3.0,2.0,,,78.0
23,"Lemmens, Sean",18.0,8.0,4.0,22,,,,2.0,10.0,1.0,,5.0,1.0,3.0,,7,12,,,2.0,,,88.0
17 ↑,"Markov, Oleg",7.0,5.0,5.0,12,,,,4.0,2.0,2.0,,3.0,1.0,,,3,9,,,2.0,,,56.0
11,"Miller, Touk",17.0,4.0,2.0,19,,,,5.0,2.0,8.0,5.0,6.0,1.0,2.0,,9,9,,,1.0,,,85.0
27,"Powell, Wil",11.0,4.0,3.0,14,,1.0,,1.0,4.0,1.0,2.0,1.0,,,,4,7,,,1.0,,,91.0
22,"Rankine, Izak",9.0,5.0,9.0,18,1.0,1.0,,4.0,1.0,3.0,1.0,3.0,,1.0,,7,11,,1.0,2.0,,2.0,89.0
41,"Rosas, Malcolm",3.0,1.0,2.0,5,1.0,,,2.0,,2.0,,1.0,,1.0,,4,2,,,1.0,,1.0,57.0
18,"Rowell, Matt",4.0,,2.0,6,,,,8.0,,2.0,1.0,4.0,,4.0,,5,2,,,,,,67.0
24,"Swallow, David",18.0,5.0,7.0,25,,,,5.0,1.0,11.0,7.0,5.0,4.0,1.0,,17,12,1.0,,1.0,,3.0,85.0
16 ↓,"Thompson, Rory",3.0,3.0,1.0,4,,,,,,,,1.0,,1.0,,2,2,1.0,,3.0,,,27.0
14,"Weller, Lachie",11.0,4.0,6.0,17,,1.0,,1.0,5.0,3.0,2.0,4.0,1.0,1.0,,7,8,,,2.0,,,89.0
28,"Witts, Jarrod",6.0,2.0,5.0,11,,,55.0,3.0,1.0,2.0,4.0,3.0,3.0,,,11,2,1.0,,3.0,,,89.0
Totals,Totals,209.0,86.0,81.0,290,13.0,9.0,58.0,66.0,41.0,56.0,36.0,58.0,20.0,21.0,,133,150,11.0,9.0,46.0,,7.0,
Opposition,Opposition,205.0,78.0,160.0,365,15.0,16.0,34.0,62.0,42.0,58.0,49.0,60.0,21.0,20.0,6.0,152,215,18.0,15.0,54.0,3.0,10.0,
