Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",25y 189d,37 (24-0-13 64.86%),9 (0.24),←,
24,"Bews, Jed",27y 102d,105 (61-2-42 59.05%),12 (0.11),←,
46,"Blicavs, Mark",29y 363d,181 (119-2-60 66.30%),40 (0.22),←,
6,"Clark, Jordan",20y 161d,23 (15-0-8 65.22%),13 (0.57),←,
18,"Constable, Charlie",21y 312d,11 (8-0-3 72.73%),5 (0.45),←,
40,"Dahlhaus, Luke",28y 217d,196 (98-0-98 50.00%),132 (0.67),42 (28-0-14 66.67%),22 (0.52)
31,"Evans, Francis",19y 215d,1 (1-0-0 100.00%),2 (2.00),←,
29,"Guthrie, Cameron",28y 219d,184 (120-2-62 65.76%),60 (0.33),←,
39,"Guthrie, Zach",22y 269d,22 (12-1-9 56.82%),2 (0.09),←,
26,"Hawkins, Tom",32y 248d,279 (198-2-79 71.33%),608 (2.18),←,
25,"Henderson, Lachie",31y 102d,187 (96-2-89 51.87%),114 (0.61),70 (46-1-23 66.43%),10 (0.14)
38,"Henry, Jack",22y 209d,67 (43-0-24 64.18%),9 (0.13),←,
4,"Higgins, Shaun",33y 22d,239 (109-1-129 45.82%),224 (0.94),2 (1-0-1 50.00%),
8,"Kolodjashnij, Jake",25y 229d,112 (72-2-38 65.18%),,←,
32,"Miers, Gryan",21y 361d,48 (32-0-16 66.67%),49 (1.02),←,
42,"OConnor, Mark",24y 68d,53 (34-0-19 64.15%),3 (0.06),←,
3,"Parfitt, Brandan",22y 333d,74 (51-0-23 68.92%),35 (0.47),←,
23,"Rohan, Gary",29y 292d,146 (97-1-48 66.78%),144 (0.99),40 (27-0-13 67.50%),48 (1.20)
14,"Selwood, Joel",32y 304d,312 (227-1-84 72.92%),164 (0.53),←,
7,"Smith, Isaac",32y 86d,212 (145-1-66 68.63%),168 (0.79),2 (1-0-1 50.00%),3 (1.50)
1,"Stanley, Rhys",30y 115d,146 (79-1-66 54.45%),95 (0.65),88 (58-1-29 66.48%),55 (0.63)
44,"Stewart, Tom",28y 11d,88 (57-0-31 64.77%),3 (0.03),←,
2,"Tuohy, Zach",31y 106d,206 (101-2-103 49.51%),69 (0.33),86 (53-1-32 62.21%),29 (0.34)
Totals,Totals,27y 38d,2929 (1799-20-1110 61.42%),1960 (0.67),,
C,"Scott, Chris",44y 327d,238 (163-2-73 68.91%),,←,
