Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
31,"Banner, Mitchell",19y 296d,1 (1-0-0 100.00%),1 (1.00),←,
10,"Boak, Travis",21y 239d,50 (25-0-25 50.00%),20 (0.40),←,
20,"Brogan, Dean",31y 104d,143 (87-1-55 61.19%),47 (0.33),←,
27,"Carlile, Alipate",22y 332d,54 (24-0-30 44.44%),2 (0.04),←,
1,"Cassisi, Domenic",27y 187d,150 (84-1-65 56.33%),63 (0.42),←,
35,"Cornes, Chad",30y 136d,217 (128-1-88 59.22%),161 (0.74),←,
18,"Cornes, Kane",27y 82d,185 (106-1-78 57.57%),76 (0.41),←,
41,"Davenport, Jason",24y 205d,11 (5-0-6 45.45%),8 (0.73),←,
33,"Ebert, Brett",26y 130d,119 (58-1-60 49.16%),178 (1.50),←,
38,"Harding, Scott",23y 282d,49 (27-3-19 58.16%),15 (0.31),1 (1-0-0 100.00%),
45,"Hitchcock, Cameron",19y 268d,1 (1-0-0 100.00%),2 (2.00),←,
7,"Krakouer, Nathan",21y 327d,34 (18-0-16 52.94%),7 (0.21),←,
26,"Moore, Andrew",18y 302d,1 (1-0-0 100.00%),,←,
6,"Pearce, Danyle",23y 355d,94 (43-0-51 45.74%),57 (0.61),←,
3,"Salopek, Steven",24y 280d,95 (49-0-46 51.58%),43 (0.45),←,
28,"Schulz, Jay",24y 344d,72 (25-2-45 36.11%),58 (0.81),1 (1-0-0 100.00%),
14,"Stewart, Paul",22y 261d,19 (6-0-13 31.58%),1 (0.05),←,
9,"Surjan, Jacob",24y 225d,88 (45-0-43 51.14%),12 (0.14),←,
21,"Thomas, Matt",23y 29d,30 (10-0-20 33.33%),8 (0.27),←,
16,"Tredrea, Warren",31y 94d,249 (141-2-106 57.03%),541 (2.17),←,
12,"Trengove, Jackson",19y 146d,1 (1-0-0 100.00%),,←,
39,"Westhoff, Justin",23y 178d,51 (24-0-27 47.06%),77 (1.51),←,
Totals,Totals,24y 102d,1714 (909-12-793 53.03%),1377 (0.80),,
C,"Williams, Mark",51y 219d,259 (146-2-111 56.76%),,←,
