Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",29y 176d,191 (76-2-113 40.31%),45 (0.24),←,
31,"Andrews, Harris",18y 150d,4 (1-0-3 25.00%),3 (0.75),←,
17,"Beams, Claye",23y 251d,34 (11-0-23 32.35%),21 (0.62),←,
9,"Beams, Dayne",25y 87d,116 (77-2-37 67.24%),121 (1.04),6 (1-0-5 16.67%),3 (0.50)
3,"Christensen, Allen",23y 356d,71 (50-0-21 70.42%),62 (0.87),6 (1-0-5 16.67%),6 (1.00)
42,"Clarke, Justin",21y 173d,42 (15-0-27 35.71%),1 (0.02),←,
26,"Cutler, Tom",20y 79d,10 (2-0-8 20.00%),2 (0.20),←,
27,"Gardiner, Darcy",19y 230d,21 (7-0-14 33.33%),2 (0.10),←,
41,"Golby, Mitch",23y 219d,54 (20-0-34 37.04%),6 (0.11),←,
6,"Green, Josh",22y 259d,60 (25-0-35 41.67%),81 (1.35),←,
35,"Lester, Ryan",22y 257d,55 (22-0-33 40.00%),13 (0.24),←,
23,"Leuenberger, Matthew",26y 337d,97 (34-1-62 35.57%),22 (0.23),←,
12,"Martin, Stefan",28y 174d,80 (21-1-58 26.88%),30 (0.38),23 (7-0-16 30.43%),7 (0.30)
25,"McStay, Daniel",19y 320d,15 (5-0-10 33.33%),16 (1.07),←,
22,"Paparone, Marco",20y 249d,29 (8-0-21 27.59%),13 (0.45),←,
30,"Redden, Jack",24y 152d,118 (42-1-75 36.02%),50 (0.42),←,
10,"Rich, Daniel",24y 337d,107 (41-1-65 38.79%),72 (0.67),←,
18,"Robertson, Nick",19y 341d,11 (2-0-9 18.18%),,←,
5,"Robinson, Mitch",25y 337d,106 (52-1-53 49.53%),58 (0.55),6 (1-0-5 16.67%),
38,"Rockliff, Tom",25y 77d,105 (36-0-69 34.29%),52 (0.50),←,
28,"Taylor, Lewis",20y 82d,28 (8-0-20 28.57%),15 (0.54),←,
15,"Zorko, Dayne",26y 90d,65 (26-0-39 40.00%),65 (1.00),←,
Totals,Totals,23y 132d,1419 (581-9-829 40.94%),750 (0.53),,
C,"Leppitsch, Justin",39y 221d,28 (8-0-20 28.57%),,←,
