Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",28y 23d,207 (92-0-115 44.44%),149 (0.72),←,
16,"Bowden, Patrick",24y 344d,65 (16-1-48 25.38%),66 (1.02),15 (8-0-7 53.33%),11 (0.73)
7,"Brown, Nathan",28y 154d,175 (78-3-94 45.43%),275 (1.57),38 (14-0-24 36.84%),69 (1.82)
3,"Deledio, Brett",19y 87d,36 (18-0-18 50.00%),17 (0.47),←,
41,"Foley, Nathan",20y 309d,20 (9-0-11 45.00%),3 (0.15),←,
2,"Gaspar, Darren",30y 55d,222 (97-0-125 43.69%),23 (0.10),201 (90-0-111 44.78%),22 (0.11)
31,"Hyde, Chris",23y 339d,62 (18-0-44 29.03%),20 (0.32),←,
17,"Johnson, Kane",28y 121d,173 (79-0-94 45.66%),64 (0.37),69 (24-0-45 34.78%),20 (0.29)
39,"Kellaway, Andrew",30y 233d,171 (78-0-93 45.61%),30 (0.18),←,
27,"Krakouer, Andrew",23y 160d,88 (30-0-58 34.09%),89 (1.01),←,
40,"Moore, Kelvin",22y 111d,16 (1-0-15 6.25%),7 (0.44),←,
26,"Pattison, Adam",20y 131d,12 (7-0-5 58.33%),1 (0.08),←,
15,"Pettifer, Kayne",24y 173d,74 (32-0-42 43.24%),79 (1.07),←,
14,"Polo, Dean",19y 343d,10 (6-0-4 60.00%),5 (0.50),←,
4,"Raines, Andrew",20y 128d,22 (11-0-11 50.00%),,←,
12,"Richardson, Matthew",31y 117d,227 (100-0-127 44.05%),664 (2.93),←,
25,"Schulz, Jay",21y 87d,30 (10-0-20 33.33%),21 (0.70),←,
5,"Simmonds, Troy",28y 1d,141 (70-0-71 49.65%),105 (0.74),37 (18-0-19 48.65%),39 (1.05)
30,"Tambling, Richard",19y 305d,26 (15-0-11 57.69%),16 (0.62),←,
32,"Tivendale, Greg",27y 86d,159 (66-0-93 41.51%),105 (0.66),←,
21,"Tuck, Shane",24y 202d,40 (18-0-22 45.00%),21 (0.52),←,
35,"White, Matt",19y 90d,4 (2-0-2 50.00%),1 (0.25),←,
Totals,Totals,24y 147d,1980 (853-4-1123 43.08%),1761 (0.89),,
C,"Wallace, Terry",47y 213d,185 (97-2-86 52.97%),,37 (18-0-19 48.65%),
