Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14 ↑,"Bugg, Tomas",2,,,2,1,,,2.0,1.0,,,1.0,,1.0,,1.0,2.0,,,1.0,,,25.0
18,"Cameron, Jeremy",10,8,3,13,3,1.0,,,,7.0,,5.0,,4.0,,3.0,10.0,1.0,2.0,2.0,,2.0,91.0
3,"Coniglio, Stephen",12,6,5,17,1,,,3.0,3.0,2.0,,4.0,1.0,,,4.0,13.0,,1.0,2.0,,1.0,84.0
1,"Davis, Phil",7,3,6,13,,,,,2.0,,,2.0,1.0,2.0,,6.0,8.0,,,4.0,,,89.0
26,"Giles, Jonathan",9,,3,12,,,18.0,2.0,,3.0,3.0,3.0,2.0,1.0,,5.0,4.0,,,2.0,,,88.0
4,"Greene, Toby",14,3,7,21,,,,6.0,3.0,1.0,2.0,4.0,,2.0,,7.0,15.0,,,,,,91.0
19,"Haynes, Nick",5,3,2,7,,,,3.0,2.0,,,3.0,,2.0,,5.0,4.0,2.0,,4.0,,,86.0
40,"Kennedy, Adam",3,4,4,7,,,,1.0,2.0,,,2.0,,1.0,,2.0,6.0,,,,,,86.0
39,"Mohr, Tim",18,9,2,20,,,,1.0,8.0,1.0,,2.0,,,,1.0,12.0,,,6.0,2.0,,94.0
37,"OhAilpin, Setanta",9,2,4,13,3,1.0,1.0,,,2.0,4.0,,,,,8.0,4.0,,2.0,,,1.0,82.0
7,"Palmer, Rhys",11,4,11,22,2,,,6.0,1.0,3.0,1.0,2.0,1.0,,,10.0,12.0,,,1.0,,,87.0
30,"Plowman, Lachie",8,5,6,14,,,,,2.0,,1.0,1.0,,,,7.0,6.0,1.0,2.0,1.0,,,83.0
23,"Reid, Sam",7,7,6,13,,,,5.0,3.0,1.0,1.0,4.0,,2.0,,4.0,9.0,1.0,,1.0,,,84.0
9,"Scully, Tom",8,5,7,15,1,1.0,,3.0,2.0,3.0,1.0,6.0,,2.0,,4.0,11.0,1.0,,,,1.0,83.0
5,"Shiel, Dylan",10,5,14,24,1,1.0,,4.0,1.0,7.0,2.0,1.0,,,,6.0,18.0,,,,1.0,2.0,80.0
10,"Smith, Devon",18,3,8,26,3,2.0,,4.0,2.0,5.0,2.0,,2.0,,,8.0,17.0,,1.0,2.0,1.0,,82.0
46,"Thornton, Bret",12,11,2,14,,,1.0,,1.0,1.0,,1.0,,1.0,,2.0,12.0,,,2.0,,,88.0
20 ↓,"Tomlinson, Adam",5,4,3,8,1,,,3.0,2.0,1.0,,2.0,1.0,,,2.0,6.0,,1.0,,,,67.0
17,"Treloar, Adam",4,2,11,15,,,,2.0,,,1.0,1.0,,,,4.0,11.0,,,1.0,,,81.0
8,"Ward, Callan",16,8,15,31,,,2.0,2.0,2.0,6.0,6.0,3.0,,,,14.0,17.0,1.0,,1.0,1.0,2.0,87.0
6,"Whitfield, Lachie",7,5,10,17,,,,3.0,,1.0,1.0,,,,,3.0,15.0,,,,4.0,1.0,81.0
51,"Williams, Zac",5,2,8,13,,,,3.0,,3.0,2.0,1.0,,1.0,,4.0,9.0,,,,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,99,137,337,16,8.0,22.0,53.0,37.0,47.0,27.0,48.0,8.0,19.0,,110.0,221.0,7.0,9.0,30.0,9.0,10.0,
Opposition,Opposition,243,115,143,386,21,22.0,29.0,46.0,26.0,61.0,33.0,30.0,19.0,7.0,6.0,149.0,234.0,15.0,26.0,40.0,14.0,17.0,
