Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Bayes, Mark",8,1,3,11,3,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,
39,"Capper, Warwick",3,2,1,4,,1.0,,1.0,,,,,,,,,,,,,,,
7,"Carroll, Dennis",22,,9,31,1,1.0,,1.0,,,,,,1.0,,,,,,,,,
29,"Cordy, Neil",10,1,2,12,,,,1.0,,,,,2.0,1.0,,,,,,,,,
4,"Doolan, Ben",8,4,13,21,,1.0,,3.0,,,,,3.0,1.0,,,,,,,,,
9,"Henwood, Wayne",7,2,2,9,,,,,,,,,3.0,2.0,,,,,,,,,
47,"Higgins, Leon",14,3,6,20,1,,,2.0,,,,,,2.0,,,,,,,,,
14,"Kelly, Paul",10,2,13,23,1,1.0,,3.0,,,,,1.0,,,,,,,,,,
37,"Lawson, Jamie",9,1,6,15,1,1.0,,2.0,,,,,,1.0,,,,,,,,,
3,"Lewis, Dale",2,1,1,3,,,,,,,,,,,,,,,,,,,
32,"Love, Jason",10,3,5,15,3,5.0,,1.0,,,,,1.0,1.0,,,,,,,,,
45,"McKenzie, Warren",14,4,5,19,1,,3.0,,,,,,1.0,1.0,,,,,,,,,
10,"Mitchell, Barry",16,1,13,29,2,,,,,,,,2.0,2.0,,,,,,,,,
35,"Murphy, David",9,1,6,15,1,1.0,,,,,,,,1.0,,,,,,,,,
5,"Roberts, Ian",8,4,6,14,,,,1.0,,,,,3.0,3.0,,,,,,,,,
12,"Thripp, Terry",9,4,9,18,,1.0,,1.0,,,,,3.0,,,,,,,,,,
15,"Toohey, Bernard",17,,4,21,,,,3.0,,,,,6.0,,,,,,,,,,
48,"Tunbridge, Brad",3,3,4,7,,,6.0,,,,,,3.0,,,,,,,,,,
2,"Williams, Greg",10,3,20,30,1,2.0,,3.0,,,,,,1.0,1.0,,,,,,,,
26,"Wright, Stephen",4,,1,5,1,,,,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,40,129,322,16,17.0,10.0,24.0,,,,,29.0,19.0,1.0,,,,,,,,
Opposition,Opposition,208,86,113,321,18,11.0,22.0,26.0,,,,,19.0,29.0,5.0,,,,,,,,
