Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Casboult, Levi",13,10,2,15,3,1.0,10.0,,,4.0,2.0,5.0,,2.0,,3.0,11.0,1.0,3.0,2.0,,,84.0
9,"Cripps, Patrick",16,4,23,39,1,,,7.0,2.0,8.0,19.0,4.0,4.0,1.0,3.0,24.0,15.0,,,,,1.0,89.0
35,"Curnow, Ed",12,1,18,30,,1.0,,4.0,3.0,4.0,6.0,6.0,2.0,1.0,,13.0,16.0,,,3.0,,,87.0
47,"Deluca, Josh",4,2,7,11,1,,,5.0,,2.0,,3.0,,,,4.0,5.0,,1.0,1.0,,1.0,68.0
2,"Dow, Paddy",,,4,4,,,,6.0,,,1.0,1.0,,1.0,,3.0,1.0,,,,,,70.0
40,"Gibbons, Michael",13,7,9,22,1,1.0,,5.0,1.0,2.0,6.0,2.0,1.0,,,7.0,14.0,,1.0,2.0,,1.0,87.0
14,"Jones, Liam",6,5,1,7,,,,1.0,2.0,,,2.0,1.0,2.0,,4.0,4.0,2.0,,12.0,,,94.0
7,"Kennedy, Matthew",5,3,5,10,1,,,7.0,,2.0,,3.0,,,,4.0,6.0,,1.0,,,2.0,71.0
16,"Lang, Darcy",7,3,2,9,1,,,3.0,,1.0,,1.0,1.0,1.0,,4.0,6.0,,,,,1.0,75.0
10,"McKay, Harry",4,5,,4,1,1.0,,1.0,,,,6.0,,5.0,,3.0,3.0,2.0,4.0,3.0,,,88.0
3,"Murphy, Marc",21,8,10,31,,,,5.0,5.0,3.0,4.0,2.0,1.0,,,7.0,23.0,,,1.0,,1.0,84.0
24,"Newman, Nic",14,7,5,19,,,,,2.0,2.0,,3.0,1.0,2.0,,7.0,10.0,1.0,,3.0,,,80.0
4,"OBrien, Lochie",5,4,4,9,,,,1.0,1.0,1.0,,1.0,,1.0,,,9.0,,1.0,1.0,1.0,,80.0
5,"Petrevski-Seton, Sam",16,9,4,20,,,,3.0,3.0,,1.0,3.0,,1.0,,2.0,18.0,1.0,,4.0,,,74.0
34,"Phillips, Andrew",4,4,5,9,1,1.0,35.0,3.0,,,3.0,5.0,1.0,4.0,,8.0,2.0,3.0,2.0,5.0,,1.0,73.0
20,"Plowman, Lachie",6,4,4,10,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,5.0,6.0,1.0,1.0,3.0,,2.0,91.0
43,"Setterfield, Will",17,4,7,24,1,1.0,,2.0,,7.0,2.0,5.0,3.0,2.0,1.0,8.0,18.0,,,1.0,1.0,,84.0
1,"Silvagni, Jack",6,3,9,15,1,,,5.0,1.0,3.0,,2.0,1.0,,,11.0,4.0,1.0,1.0,,,1.0,80.0
6,"Simpson, Kade",26,12,5,31,1,,,3.0,8.0,2.0,1.0,1.0,,,2.0,3.0,25.0,1.0,1.0,,2.0,,86.0
39,"Thomas, Dale",14,7,8,22,,,,3.0,3.0,3.0,,3.0,2.0,1.0,,4.0,17.0,,,2.0,,1.0,78.0
18,"Walsh, Sam",15,4,15,30,,1.0,,1.0,4.0,1.0,7.0,3.0,,1.0,,16.0,14.0,1.0,,1.0,,,81.0
23,"Weitering, Jacob",8,7,6,14,,,,2.0,1.0,,,3.0,,1.0,,5.0,8.0,2.0,,4.0,,,97.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,232,113,153,385,13,9.0,45.0,69.0,37.0,46.0,52.0,65.0,19.0,27.0,6.0,145.0,235.0,16.0,16.0,48.0,4.0,12.0,
Opposition,Opposition,193,87,150,343,9,6.0,41.0,85.0,33.0,46.0,29.0,47.0,27.0,19.0,,123.0,215.0,12.0,5.0,43.0,7.0,6.0,
