St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Battle, Josh",14,6,5,19,,,,2.0,4.0,1.0,,2.0,1.0,,,3.0,15.0,,,3.0,,,95.0
16,"Butler, Dan",6,1,4,10,1,1.0,,6.0,1.0,,,1.0,,,,1.0,8.0,,,1.0,,,81.0
13 ↓,"Byrnes, Ryan",6,3,1,7,1,,,2.0,,1.0,,2.0,,1.0,,1.0,6.0,,1.0,,,,59.0
47,"Caminiti, Anthony",4,5,4,8,1,,,1.0,,1.0,,1.0,,,,3.0,5.0,,2.0,3.0,,1.0,76.0
5,"Crouch, Brad",13,5,12,25,,,,10.0,1.0,5.0,3.0,2.0,1.0,1.0,,9.0,16.0,,,,,,75.0
4,"Gresham, Jade",6,1,5,11,1,,,3.0,,3.0,1.0,4.0,,,,6.0,6.0,,,1.0,,,66.0
22,"Higgins, Jack",6,3,5,11,1,2.0,,1.0,,1.0,,2.0,,1.0,,6.0,6.0,1.0,2.0,1.0,,2.0,75.0
8,"Hill, Bradley",17,6,8,25,1,,,1.0,4.0,4.0,3.0,4.0,2.0,1.0,,8.0,17.0,,1.0,,2.0,,84.0
20,"Howard, Dougal",8,4,4,12,,,,2.0,4.0,,,2.0,,,,5.0,6.0,1.0,,5.0,,,87.0
12,"King, Max",4,,3,7,,2.0,,,,3.0,1.0,3.0,1.0,1.0,,5.0,2.0,,,,,,88.0
19,"Marshall, Rowan",7,7,6,13,,,30.0,5.0,1.0,1.0,3.0,,1.0,,,6.0,7.0,1.0,,5.0,,,90.0
10,"Owens, Mitch",7,4,6,13,,1.0,4.0,5.0,,3.0,2.0,1.0,1.0,1.0,,7.0,8.0,2.0,1.0,4.0,,1.0,79.0
33,"Paton, Ben",7,6,7,14,,,,,1.0,2.0,,3.0,,1.0,,3.0,11.0,,,1.0,,,74.0
25,"Phillipou, Mattaes",,2,12,12,,,,1.0,,,1.0,2.0,,1.0,,6.0,6.0,,,,,1.0,83.0
43 ↑,"Sharman, Cooper",2,2,2,4,,,,,1.0,,,1.0,,,,2.0,2.0,,,1.0,,,35.0
35,"Sinclair, Jack",21,4,15,36,1,1.0,,4.0,4.0,4.0,6.0,3.0,2.0,,2.0,16.0,23.0,,1.0,2.0,,,84.0
9,"Steele, Jack",9,3,12,21,,,,12.0,1.0,4.0,6.0,6.0,2.0,2.0,,12.0,11.0,,,,,,68.0
14,"Stocker, Liam",15,6,3,18,,,,5.0,5.0,1.0,,4.0,1.0,1.0,,5.0,10.0,1.0,,1.0,,,80.0
7,"Wanganeen-Milera, Nasiah",18,4,6,24,1,,,4.0,5.0,2.0,1.0,1.0,2.0,,,9.0,10.0,,,1.0,,,83.0
29,"Webster, Jimmy",9,3,6,15,,,,3.0,3.0,2.0,,,2.0,,,6.0,8.0,,,6.0,,1.0,80.0
44,"Wilkie, Callum",11,8,4,15,,,,2.0,3.0,1.0,,4.0,3.0,1.0,,3.0,12.0,,,4.0,,,100.0
17,"Windhager, Marcus",3,2,9,12,,,,3.0,1.0,2.0,2.0,1.0,,1.0,,5.0,7.0,,1.0,1.0,,,73.0
32,"Wood, Mason",15,3,9,24,,,,5.0,2.0,2.0,2.0,7.0,,1.0,,8.0,14.0,,1.0,3.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,88,148,356,8,8.0,34.0,77.0,41.0,43.0,31.0,56.0,19.0,14.0,2.0,135.0,216.0,6.0,10.0,43.0,2.0,6.0,
Opposition,Opposition,230,124,103,333,12,12.0,38.0,56.0,35.0,54.0,39.0,47.0,14.0,19.0,4.0,127.0,209.0,14.0,18.0,57.0,5.0,9.0,
