Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Akermanis, Jason",8,1.0,5.0,13,1.0,,,1.0,,,,,1.0,,,,,,,,,,
10,"Ashcroft, Marcus",11,2.0,7.0,18,,,,4.0,,,,,,1.0,,,,,,,,,
34,"Bamford, Scott",1,,1.0,2,1.0,,,1.0,,,,,,,,,,,,,,,
26,"Barker, John",6,3.0,3.0,9,,1.0,,1.0,,,,,,1.0,,,,,,,,,
36,"Bradshaw, Daniel",6,2.0,,6,1.0,,,1.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",7,4.0,1.0,8,,,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"Chapman, Nathan",4,1.0,6.0,10,,,,1.0,,,,,,,,,,,,,,,
16,"Clarke, Matthew",4,2.0,10.0,14,,,17.0,1.0,,,,,1.0,3.0,,,,,,,,,
14,"Dickfos, Danny",9,5.0,6.0,15,,,2.0,3.0,,,,,2.0,1.0,,,,,,,,,
6,"Fletcher, Adrian",6,,6.0,12,,,,4.0,,,,,2.0,,,,,,,,,,
8,"Gowers, Andrew",18,3.0,2.0,20,1.0,,,1.0,,,,,,,,,,,,,,,
2,"Johnson, Chris",5,3.0,5.0,10,,,,,,,,,,3.0,,,,,,,,,
27,"Keating, Clark",6,5.0,,6,,1.0,3.0,,,,,,,1.0,,,,,,,,,
15,"Lawrence, Steven",4,2.0,2.0,6,,,,3.0,,,,,1.0,2.0,,,,,,,,,
23,"Leppitsch, Justin",8,2.0,1.0,9,2.0,3.0,,4.0,,,,,1.0,2.0,,,,,,,,,
11,"Lynch, Alastair",7,3.0,1.0,8,1.0,,,1.0,,,,,1.0,,,,,,,,,,
42,"Lynch, Tristan",13,5.0,2.0,15,1.0,,,3.0,,,,,1.0,1.0,,,,,,,,,
7,"McIvor, Scott",9,3.0,4.0,13,,,,2.0,,,,,,,,,,,,,,,
4,"McRae, Craig",11,3.0,2.0,13,1.0,,,1.0,,,,,,2.0,,,,,,,,,
28,"Robbins, Ben",5,1.0,11.0,16,,,,2.0,,,,,,,,,,,,,,,
33,"White, Darryl",13,5.0,7.0,20,,,,1.0,,,,,,1.0,,,,,,,,,
Totals,Totals,161,55.0,82.0,243,9.0,5.0,22.0,36.0,,,,,12.0,19.0,,,,,,,,,
Opposition,Opposition,208,70.0,103.0,311,17.0,14.0,10.0,36.0,,,,,19.0,12.0,6.0,,,,,,,,
