Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",19y 216d,15 (7-0-8 46.67%),5 (0.33),←,
12,"Akermanis, Jason",28y 115d,226 (142-4-80 63.72%),285 (1.26),188 (119-3-66 64.10%),241 (1.28)
20,"Black, Simon",26y 77d,161 (110-1-50 68.63%),110 (0.68),←,
36,"Bradshaw, Daniel",26y 210d,150 (93-2-55 62.67%),282 (1.88),147 (90-2-55 61.90%),282 (1.92)
16,"Brown, Jonathan",23y 233d,101 (76-0-25 75.25%),150 (1.49),←,
30,"Copeland, Robert",24y 24d,89 (64-0-25 71.91%),18 (0.20),←,
18,"Corrie, Anthony",20y 362d,18 (8-0-10 44.44%),13 (0.72),←,
39,"Drummond, Josh",22y 61d,6 (4-0-2 66.67%),4 (0.67),←,
2,"Johnson, Chris",29y 20d,235 (118-3-114 50.85%),155 (0.66),176 (111-3-62 63.92%),88 (0.50)
27,"Keating, Clark",29y 92d,127 (84-2-41 66.93%),81 (0.64),113 (74-1-38 65.93%),72 (0.64)
44,"Lappin, Nigel",28y 363d,250 (149-4-97 60.40%),165 (0.66),189 (117-3-69 62.70%),125 (0.66)
23,"Leppitsch, Justin",29y 261d,222 (133-4-85 60.81%),193 (0.87),178 (111-3-64 63.20%),135 (0.76)
26,"Macdonald, Joel",20y 252d,23 (13-0-10 56.52%),3 (0.13),←,
9,"McGrath, Ashley",22y 30d,63 (40-1-22 64.29%),43 (0.68),←,
25,"McLaren, Dylan",23y 42d,41 (29-0-12 70.73%),5 (0.12),←,
21,"Merrett, Daniel",20y 189d,8 (4-0-4 50.00%),5 (0.63),←,
15,"Michael, Mal",27y 360d,171 (99-1-71 58.19%),26 (0.15),110 (78-1-31 71.36%),3 (0.03)
8,"Notting, Tim",26y 241d,125 (86-1-38 69.20%),101 (0.81),←,
6,"Power, Luke",25y 162d,145 (97-1-47 67.24%),159 (1.10),←,
28,"Selwood, Troy",21y 49d,11 (5-0-6 45.45%),1 (0.09),←,
29,"Sherman, Justin",18y 144d,10 (5-0-5 50.00%),7 (0.70),←,
3,"Voss, Michael",29y 347d,259 (156-2-101 60.62%),236 (0.91),180 (118-1-61 65.83%),164 (0.91)
Totals,Totals,24y 275d,2456 (1522-26-908 61.97%),2047 (0.83),,
C,"Matthews, Leigh",53y 110d,387 (237-6-144 62.02%),,163 (112-1-50 69.02%),
