Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 361d,86 (54-0-32 62.79%),132 (1.53),48 (36-0-12 75.00%),77 (1.60)
33,"Allison, Brett",31y 122d,219 (124-1-94 56.85%),276 (1.26),←,
11,"Archer, Glenn",26y 185d,162 (108-0-54 66.67%),102 (0.63),←,
26,"Bell, Peter",23y 208d,100 (69-0-31 69.00%),98 (0.98),98 (69-0-29 70.41%),96 (0.98)
12,"Blakey, John",33y 63d,299 (161-0-138 53.85%),96 (0.32),164 (109-0-55 66.46%),58 (0.35)
16,"Capuano, Mathew",24y 23d,68 (53-0-15 77.94%),19 (0.28),←,
18,"Carey, Wayne",28y 121d,207 (130-0-77 62.80%),567 (2.74),←,
23,"Clayton, Shane",20y 336d,43 (22-0-21 51.16%),11 (0.26),25 (20-0-5 80.00%),10 (0.40)
6,"Grant, Shannon",22y 159d,107 (69-1-37 64.95%),121 (1.13),49 (37-0-12 75.51%),83 (1.69)
29,"Harvey, Brent",21y 134d,64 (46-0-18 71.88%),66 (1.03),←,
34,"King, David",27y 202d,132 (90-0-42 68.18%),43 (0.33),←,
35,"Longmire, John",28y 268d,200 (104-1-95 52.25%),511 (2.56),←,
4,"Martyn, Mick",31y 25d,242 (145-1-96 60.12%),14 (0.06),←,
31,"McKernan, Corey",25y 280d,138 (97-0-41 70.29%),155 (1.12),←,
19,"Mooney, Cameron",19y 364d,11 (10-0-1 90.91%),2 (0.18),←,
44,"Motlop, Shannon",21y 38d,7 (7-0-0 100.00%),5 (0.71),←,
28,"Pickett, Byron",22y 45d,51 (38-0-13 74.51%),,←,
13,"Pike, Martin",26y 315d,121 (57-0-64 47.11%),53 (0.44),61 (45-0-16 73.77%),13 (0.21)
24,"Sholl, Craig",31y 269d,222 (135-0-87 60.81%),150 (0.68),←,
7,"Simpson, Adam",23y 221d,90 (67-0-23 74.44%),35 (0.39),←,
10,"Stevens, Anthony",28y 85d,206 (130-0-76 63.11%),97 (0.47),←,
30,"Welsh, Scott",20y 292d,36 (26-0-10 72.22%),30 (0.83),←,
Totals,Totals,25y 237d,2811 (1742-4-1065 61.97%),2583 (0.92),,
C,"Pagan, Denis",52y 1d,170 (114-0-56 67.06%),,←,
