Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
13,"Blumfield, Justin",25y 140d,132 (88-1-43 67.05%),87 (0.66),3 (2-0-1 66.67%),1 (0.33)
11,"Bowden, Joel",24y 296d,130 (66-0-64 50.77%),122 (0.94),←,
15,"Cameron, Leon",30y 223d,238 (127-3-108 53.99%),97 (0.41),66 (34-0-32 51.52%),29 (0.44)
9,"Campbell, Wayne",30y 202d,250 (116-1-133 46.60%),154 (0.62),←,
6,"Chaffey, Mark",25y 342d,104 (50-0-54 48.08%),23 (0.22),←,
24,"Coughlan, Mark",20y 358d,24 (9-0-15 37.50%),12 (0.50),←,
14,"Fiora, Aaron",21y 359d,43 (24-0-19 55.81%),14 (0.33),←,
19,"Fleming, Tim",25y 8d,1 (1-0-0 100.00%),1 (1.00),←,
2,"Gaspar, Darren",26y 328d,168 (77-0-91 45.83%),16 (0.10),147 (70-0-77 47.62%),15 (0.10)
20,"Hall, Ray",22y 168d,41 (20-0-21 48.78%),21 (0.51),←,
1,"Hilton, Rory",23y 363d,61 (30-0-31 49.18%),44 (0.72),52 (27-0-25 51.92%),41 (0.79)
44,"Houlihan, Adam",25y 7d,77 (40-1-36 52.60%),84 (1.09),16 (6-0-10 37.50%),9 (0.56)
28,"Johnson, Kane",25y 29d,107 (57-0-50 53.27%),44 (0.41),3 (2-0-1 66.67%),
39,"Kellaway, Andrew",27y 141d,106 (52-0-54 49.06%),20 (0.19),←,
21,"King, Clinton",25y 20d,82 (38-0-44 46.34%),23 (0.28),51 (28-0-23 54.90%),10 (0.20)
35,"Newman, Chris",20y 330d,16 (5-0-11 31.25%),,←,
8,"Pettifer, Kayne",21y 81d,19 (10-0-9 52.63%),16 (0.84),←,
18,"Rodan, David",19y 187d,25 (9-0-16 36.00%),22 (0.88),←,
4,"Rogers, Matthew",29y 139d,182 (97-1-84 53.57%),159 (0.87),←,
10,"Stafford, Greg",28y 229d,149 (70-1-78 47.32%),87 (0.58),19 (8-0-11 42.11%),29 (1.53)
32,"Tivendale, Greg",23y 359d,84 (40-0-44 47.62%),64 (0.76),←,
36,"Zantuck, Ty",21y 57d,35 (13-0-22 37.14%),7 (0.20),←,
Totals,Totals,24y 298d,2074 (1039-8-1027 50.10%),1117 (0.54),,
C,"Frawley, Danny",39y 217d,72 (36-0-36 50.00%),,←,
