Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",27y 287d,158 (66-2-90 42.41%),60 (0.38),127 (63-2-62 50.39%),48 (0.38)
8,"Bianco, Trent",20y 165d,5 (2-0-3 40.00%),3 (0.60),←,
14,"Cameron, Darcy",25y 351d,22 (8-1-13 38.64%),18 (0.82),21 (8-1-12 40.48%),18 (0.86)
46,"Cox, Mason",30y 112d,75 (39-0-36 52.00%),92 (1.23),←,
25,"Crisp, Jack",27y 275d,168 (82-2-84 49.40%),51 (0.30),150 (75-2-73 50.67%),41 (0.27)
7,"Daicos, Josh",22y 220d,50 (23-1-26 47.00%),25 (0.50),←,
2,"de Goey, Jordan",25y 111d,111 (56-2-53 51.35%),151 (1.36),←,
5,"Elliott, Jamie",28y 317d,129 (74-2-53 58.14%),186 (1.44),←,
4,"Grundy, Brodie",27y 80d,164 (84-2-78 51.83%),55 (0.34),←,
32,"Hoskin-Elliott, Will",27y 305d,151 (64-2-85 43.05%),142 (0.94),99 (52-2-45 53.54%),100 (1.01)
18,"Macrae, Finlay",19y 113d,5 (0-0-5 0.00%),,←,
44,"Madgen, Jack",28y 70d,33 (17-1-15 53.03%),1 (0.03),←,
37,"Maynard, Brayden",24y 287d,131 (63-2-66 48.85%),16 (0.12),←,
16,"Mayne, Chris",32y 244d,242 (133-2-107 55.37%),207 (0.86),70 (38-1-31 55.00%),11 (0.16)
41,"Mihocek, Brody",28y 150d,73 (40-1-32 55.48%),114 (1.56),←,
28,"Murphy, Nathan",21y 201d,11 (5-0-6 45.45%),,←,
9,"Noble, John",24y 101d,37 (17-1-19 47.30%),3 (0.08),←,
10,"Pendlebury, Scott",33y 178d,331 (195-3-133 59.37%),182 (0.55),←,
27,"Poulter, Caleb",18y 265d,9 (3-0-6 33.33%),2 (0.22),←,
3,"Quaynor, Isaac",21y 170d,30 (11-0-19 36.67%),,←,
23,"Roughead, Jordan",30y 243d,193 (93-1-99 48.45%),35 (0.18),55 (30-1-24 55.45%),1 (0.02)
22,"Sidebottom, Steele",30y 183d,257 (153-4-100 60.31%),171 (0.67),←,
24,"Thomas, Josh",29y 276d,117 (68-2-47 58.97%),95 (0.81),←,
Totals,Totals,26y 157d,2502 (1296-31-1175 51.80%),1609 (0.64),,
C,"Harvey, Robert",49y 317d,2 (0-0-2 0.00%),,←,
