Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
16,"Brown, Luke",20y 266d,14 (7-0-7 50.00%),,←,
37,"Callinan, Ian",30y 177d,29 (18-0-11 62.07%),43 (1.48),←,
32,"Dangerfield, Patrick",23y 71d,101 (52-0-49 51.49%),113 (1.12),←,
26,"Douglas, Richard",26y 129d,126 (64-0-62 50.79%),89 (0.71),←,
45,"Henderson, Ricky",24y 277d,49 (23-0-26 46.94%),37 (0.76),←,
24,"Jacobs, Sam",25y 66d,72 (36-0-36 50.00%),16 (0.22),55 (29-0-26 52.73%),13 (0.24)
10,"Jaensch, Matthew",23y 270d,41 (19-0-22 46.34%),18 (0.44),←,
4,"Jenkins, Josh",24y 127d,23 (13-0-10 56.52%),31 (1.35),←,
46,"Laird, Rory",19y 168d,8 (4-0-4 50.00%),1 (0.13),←,
27,"Lynch, Tom",22y 273d,21 (13-0-8 61.90%),27 (1.29),15 (9-0-6 60.00%),23 (1.53)
14,"Mackay, David",24y 325d,97 (57-0-40 58.76%),29 (0.30),←,
35,"McKernan, Shaun",22y 287d,29 (12-0-17 41.38%),18 (0.62),←,
22,"Otten, Andy",24y 31d,59 (30-0-29 50.85%),7 (0.12),←,
40,"Porplyzia, Jason",28y 200d,121 (72-0-49 59.50%),173 (1.43),←,
25,"Rutten, Ben",30y 18d,206 (118-0-88 57.28%),8 (0.04),←,
9,"Sloane, Rory",23y 90d,69 (36-0-33 52.17%),42 (0.61),←,
33,"Smith, Brodie",21y 152d,44 (25-0-19 56.82%),8 (0.18),←,
12,"Talia, Daniel",21y 256d,44 (26-0-18 59.09%),3 (0.07),←,
5,"Thompson, Scott",30y 93d,235 (130-0-105 55.32%),143 (0.61),196 (112-0-84 57.14%),126 (0.64)
7,"van Berlo, Nathan",27y 9d,172 (98-0-74 56.98%),59 (0.34),←,
17,"Vince, Bernie",27y 256d,119 (63-0-56 52.94%),75 (0.63),←,
11,"Wright, Matthew",23y 183d,50 (26-0-24 52.00%),33 (0.66),←,
Totals,Totals,24y 302d,1729 (942-0-787 54.48%),973 (0.56),,
C,"Sanderson, Brenton",39y 108d,37 (23-0-14 62.16%),,←,
