Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
44,"Bail, Rohan",22y 306d,15 (7-1-7 50.00%),5 (0.33),←,
3,"Bartram, Clint",23y 71d,85 (28-3-54 34.71%),14 (0.16),←,
7,"Bennell, Jamie",20y 325d,40 (12-1-27 31.25%),19 (0.47),←,
36,"Davey, Aaron",27y 322d,144 (58-3-83 41.32%),151 (1.05),←,
14,"Dunn, Lynden",23y 349d,75 (24-2-49 33.33%),70 (0.93),←,
8,"Frawley, James",22y 220d,65 (20-1-44 31.54%),2 (0.03),←,
20,"Garland, Colin",23y,45 (12-2-31 28.89%),3 (0.07),←,
18,"Green, Brad",30y 46d,225 (97-3-125 43.78%),300 (1.33),←,
16,"Grimes, Jack",21y 352d,31 (8-2-21 29.03%),3 (0.10),←,
5,"Gysberts, Jordan",19y 321d,6 (2-1-3 41.67%),1 (0.17),←,
40,"Jamar, Mark",27y 262d,100 (38-3-59 39.50%),43 (0.43),←,
2,"Jones, Nathan",23y 98d,97 (25-3-69 27.32%),41 (0.42),←,
24,"Jurrah, Liam",22y 218d,22 (9-1-12 43.18%),53 (2.41),←,
34,"Martin, Stefan",24y 162d,34 (9-1-24 27.94%),6 (0.18),←,
22,"Moloney, Brent",27y 90d,113 (40-3-70 36.73%),29 (0.26),90 (28-2-60 32.22%),23 (0.26)
10,"Morton, Cale",21y 100d,53 (11-1-41 21.70%),29 (0.55),←,
27,"Rivers, Jared",26y 192d,113 (45-3-65 41.15%),4 (0.04),←,
12,"Sylvia, Colin",25y 171d,107 (37-2-68 35.51%),84 (0.79),←,
35,"Tapscott, Luke",19y 304d,5 (2-1-2 50.00%),,←,
9,"Trengove, Jack",19y 238d,23 (8-2-13 39.13%),11 (0.48),←,
4,"Watts, Jack",20y 33d,23 (7-2-14 34.78%),14 (0.61),←,
33,"Wonaeamirri, Austin",22y 208d,29 (9-0-20 31.03%),35 (1.21),←,
Totals,Totals,23y 183d,1450 (508-41-901 35.03%),917 (0.63),,
C,"Bailey, Dean",44y 100d,71 (17-2-52 25.35%),,←,
