Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Amon, Karl",29y 278d,180 (100-0-80 55.56%),70 (0.39),56 (27-0-29 48.21%),15 (0.27)
37,"Barrass, Tom",29y 228d,160 (75-1-84 47.19%),1 (0.01),10 (6-0-4 60.00%),
24,"Battle, Josh",26y 265d,134 (67-0-67 50.00%),30 (0.22),11 (7-0-4 63.64%),
18,"Chol, Mabior",28y 115d,95 (52-1-42 55.26%),135 (1.42),34 (20-0-14 58.82%),57 (1.68)
16,"DAmbrosio, Massimo",21y 353d,51 (31-0-20 60.78%),15 (0.29),35 (22-0-13 62.86%),10 (0.29)
33,"Ginnivan, Jack",22y 166d,75 (52-0-23 69.33%),96 (1.28),33 (21-0-12 63.64%),38 (1.15)
19,"Gunston, Jack",33y 220d,268 (164-1-103 61.38%),504 (1.88),237 (148-1-88 62.66%),462 (1.95)
15,"Hardwick, Blake",28y 108d,183 (85-2-96 46.99%),32 (0.17),←,
9,"Jiath, Changkuoth",25y 345d,64 (25-0-39 39.06%),5 (0.08),←,
31,"Macdonald, Connor",22y 131d,75 (35-0-40 46.67%),57 (0.76),←,
28,"Mackenzie, Cam",21y 123d,43 (22-0-21 51.16%),12 (0.28),←,
20,"Maginness, Finn",24y 90d,54 (24-0-30 44.44%),13 (0.24),←,
17,"Meek, Lloyd",27y 32d,62 (34-0-28 54.84%),20 (0.32),47 (25-0-22 53.19%),17 (0.36)
13,"Moore, Dylan",25y 293d,111 (46-1-64 41.89%),121 (1.09),←,
1,"Morrison, Harry",26y 193d,114 (51-1-62 45.18%),28 (0.25),←,
11,"Nash, Conor",26y 300d,105 (48-1-56 46.19%),19 (0.18),←,
3,"Newcombe, Jai",23y 295d,87 (40-2-45 47.13%),37 (0.43),←,
14,"Scrimshaw, Jack",26y 262d,113 (46-1-66 41.15%),11 (0.10),109 (46-1-62 42.66%),11 (0.10)
6,"Sicily, James",30y 138d,167 (86-1-80 51.80%),76 (0.46),←,
25,"Ward, Josh",21y 280d,52 (22-0-30 42.31%),7 (0.13),←,
34,"Watson, Nick",20y 89d,29 (18-0-11 62.07%),42 (1.45),←,
23,"Weddle, Josh",20y 364d,53 (28-0-25 52.83%),20 (0.38),←,
5,"Worpel, James",26y 120d,135 (58-2-75 43.70%),47 (0.35),←,
Totals,Totals,25y 256d,2410 (1209-14-1187 50.17%),1398 (0.58),,
C,"Mitchell, Sam",42y 224d,81 (37-0-44 45.68%),,←,
