Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",31y 144d,251 (152-0-99 60.56%),131 (0.52),←,
6,"Grant, Shannon",27y 118d,212 (122-2-88 58.02%),233 (1.10),154 (90-1-63 58.77%),195 (1.27)
31,"Hale, David",20y 85d,13 (4-0-9 30.77%),4 (0.31),←,
39,"Harding, Leigh",23y 111d,53 (28-1-24 53.77%),83 (1.57),←,
4,"Harris, Daniel",22y 97d,45 (23-1-21 52.22%),16 (0.36),←,
29,"Harvey, Brent",26y 93d,169 (100-1-68 59.47%),206 (1.22),←,
22,"Jones, Chad",20y 61d,2 (0-0-2 0.00%),1 (0.50),←,
21,"Jones, Corey",23y 171d,56 (26-0-30 46.43%),56 (1.00),←,
34,"King, David",32y 161d,239 (145-1-93 60.88%),145 (0.61),←,
35,"Makepeace, Troy",25y 162d,102 (53-1-48 52.45%),27 (0.26),←,
5,"McKernan, Corey",30y 240d,235 (130-0-105 55.32%),308 (1.31),194 (124-0-70 63.92%),248 (1.28)
19,"Motlop, Daniel",22y 152d,42 (17-1-24 41.67%),48 (1.14),←,
20,"Petrie, Drew",21y 305d,61 (29-1-31 48.36%),54 (0.89),←,
3,"Rawlings, Brady",23y 66d,89 (50-0-39 56.18%),37 (0.42),←,
26,"Rocca, Saverio",30y 269d,226 (105-3-118 47.12%),680 (3.01),70 (35-1-34 50.71%),166 (2.37)
7,"Simpson, Adam",28y 181d,200 (123-1-76 61.75%),65 (0.32),←,
9,"Sinclair, Jess",25y 355d,118 (43-1-74 36.86%),56 (0.47),68 (30-1-37 44.85%),30 (0.44)
10,"Stevens, Anthony",33y 44d,290 (173-1-116 59.83%),126 (0.43),←,
12,"Stevens, Michael",23y 282d,39 (20-0-19 51.28%),8 (0.21),22 (12-0-10 54.55%),5 (0.23)
14,"Urch, Callum",20y 25d,2 (1-0-1 50.00%),,←,
36,"Watt, Shannon",23y 263d,67 (34-1-32 51.49%),4 (0.06),←,
8,"Wells, Daniel",19y 194d,38 (20-1-17 53.95%),22 (0.58),←,
Totals,Totals,25y 96d,2549 (1398-17-1134 54.85%),2310 (0.91),,
C,"Laidley, Dani",37y 141d,42 (21-1-20 51.19%),,←,
