Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",23y 290d,63 (45-1-17 72.22%),32 (0.51),←,
16,"Brown, Luke",25y 218d,121 (72-1-48 59.92%),11 (0.09),←,
5,"Crouch, Matt",23y 7d,75 (50-1-24 67.33%),18 (0.24),←,
39,"Doedee, Tom",21y 58d,6 (4-0-2 66.67%),,←,
26,"Douglas, Richard",31y 81d,225 (125-1-99 55.78%),153 (0.68),←,
28,"Ellis-Yolmen, Cam",25y 90d,20 (10-0-10 50.00%),11 (0.55),←,
7,"Gallucci, Jordan",19y 359d,3 (3-0-0 100.00%),4 (1.33),←,
6,"Gibbs, Bryce",29y 44d,237 (99-2-136 42.19%),143 (0.60),6 (4-0-2 66.67%),6 (1.00)
1,"Greenwood, Hugh",26y 53d,21 (14-1-6 69.05%),11 (0.52),←,
24,"Jacobs, Sam",30y 18d,180 (102-1-77 56.94%),45 (0.25),163 (95-1-67 58.59%),42 (0.26)
4,"Jenkins, Josh",29y 79d,120 (72-1-47 60.42%),239 (1.99),←,
3,"Knight, Riley",23y 32d,33 (24-1-8 74.24%),23 (0.70),←,
29,"Laird, Rory",24y 120d,107 (66-1-40 62.15%),9 (0.08),←,
27,"Lynch, Tom",27y 225d,110 (70-1-39 64.09%),159 (1.45),104 (66-1-37 63.94%),155 (1.49)
14,"Mackay, David",29y 277d,190 (115-1-74 60.79%),55 (0.29),←,
41,"McGovern, Mitch",23y 199d,42 (30-1-11 72.62%),58 (1.38),←,
30,"Milera, Wayne",20y 226d,29 (21-1-7 74.14%),13 (0.45),←,
22,"Otten, Andy",28y 348d,100 (56-1-43 56.50%),38 (0.38),←,
10,"Poholke, Myles",19y 292d,2 (2-0-0 100.00%),,←,
11,"Seedsman, Paul",26y 96d,75 (44-1-30 59.33%),36 (0.48),26 (17-1-8 67.31%),19 (0.73)
12,"Talia, Daniel",26y 208d,152 (93-1-58 61.51%),6 (0.04),←,
13,"Walker, Taylor",28y 3d,158 (93-1-64 59.18%),372 (2.35),←,
Totals,Totals,25y 217d,2069 (1210-19-840 58.48%),1436 (0.69),,
C,"Pyke, Don",49y 144d,55 (38-1-16 70.00%),,←,
